18692300
/m/04gq178
/m/04gq178
Harry Turtledove
2008-07-08
{"/m/0mz2": "Alternate history"}
a 3
about 1
alternate 1
although 1
analyze 1
and 9
are 1
as 3
asks 1
attracted 1
before 1
blows 1
books 1
but 1
by 1
causes 1
confirmed 1
conflict 1
considers 1
cover 1
crosstime 1
dan 2
different 1
disguised 1
does 1
dull 1
dumb 1
earth 2
expertise 1
family 1
for 2
frequently 1
from 2
funded 1
grant 1
has 2
havoc 1
he 4
help 1
her 2
his 2
hostilities 1
however 1
ignorant 1
initially 1
initiated 1
insight 1
is 3
it 1
its 1
knowledge 1
learn 1
library 2
liz 2
magazines 1
meets 1
mendoza 2
mendozas 1
misgivings 1
not 2
nothing 1
on 1
own 1
period 1
postwar 2
reasons 1
recover 1
regular 1
return 2
searching 1
she 2
soldier 1
someone 1
suspicions 1
that 1
the 8
their 2
them 1
thinks 1
time 2
to 8
traders 1
traffic 1
trips 1
ucla 1
unschooled 1
valley 1
visits 1
who 2
whom 1
why 1
