2701519
/m/07yw9y
/m/07yw9y
Will James
1926
110s 1
12 1
a 9
abusive 1
acts 1
after 2
aggressive 1
allow 1
although 1
among 1
an 3
and 14
any 1
are 1
around 1
arrested 1
as 6
at 3
attacks 1
attempt 1
attraction 1
authorities 1
away 2
beaten 1
becomes 2
begins 1
being 1
best 1
birth 1
body 1
born 1
bronco 1
bucking 1
business 1
but 1
by 4
captured 2
careful 1
cars 1
clint 7
cloudy 1
come 1
completely 1
condition 1
cougar 1
cowboy 1
cowhorse 1
cruelty 1
current 1
decline 1
demeanor 1
despairs 1
details 1
developing 1
dies 1
during 2
edition 1
end 1
eventual 1
eventually 4
famous 1
finally 1
for 2
former 2
from 3
guidance 1
has 1
hatred 1
having 1
he 4
health 1
him 7
his 11
home 1
horse 6
horses 1
humans 1
illustrated 1
in 8
initially 1
intelligence 1
intense 1
is 12
issued 1
it 2
kills 1
known 1
later 1
left 1
life 1
local 1
longer 1
loyal 1
man 1
miles 1
moniker 1
most 1
named 1
no 1
now 2
number 1
of 8
on 2
only 1
owner 1
people 1
performing 1
personal 1
personality 1
place 1
prompts 1
punishment 1
reclaims 1
recognizes 1
recovered 1
refuses 1
renamed 1
repeatidly 1
results 1
reunited 1
ride 2
riding 1
rodeo 4
self 1
shell 1
show 1
smoky 12
sold 1
soon 1
south 1
spirit 2
spots 1
starves 1
states 1
steed 1
stolen 1
story 1
take 1
taken 1
takes 2
that 1
the 18
their 1
then 1
there 1
thief 3
this 2
time 1
to 8
toll 1
town 1
trained 1
treatment 2
under 2
unfortunately 1
united 1
use 2
used 1
uses 1
violent 1
was 1
west 2
western 1
when 2
which 1
while 1
who 1
wild 1
with 2
years 1
