35044216
/m/0j6431p
/m/0j6431p
Iain Banks


10000 1
14 1
14th 4
a 16
aboard 1
about 4
actions 1
advanced 2
after 1
alive 1
all 3
almost 1
along 1
also 2
always 1
amputated 1
an 4
and 21
any 2
anything 2
appear 1
arbites 1
are 2
arrive 1
arrives 2
arriving 1
as 3
asking 1
assigned 1
at 2
atonal 1
attack 1
attacked 1
attacks 1
away 1
awesome 1
banstegeyn 1
been 4
before 4
berserker 1
biological 1
book 9
both 1
but 2
by 5
called 6
calls 1
can 1
causing 1
challenging 1
citizen 1
civilisation 7
civilisations 1
claim 1
classification 1
coded 1
colonel 1
command 3
commander 1
confers 1
confirmed 1
consequence 1
contact 1
controls 1
copy 1
cossont 7
culture 6
current 1
custom 1
deaths 1
decide 1
decided 1
decides 1
decision 1
deliver 1
depart 2
departing 1
destroy 1
destroyed 1
destroying 1
destruction 1
detected 1
do 5
does 2
effectively 1
end 1
eponymous 1
escaped 1
escapes 1
evaporate 1
even 1
event 1
events 1
eye 1
eyes 2
far 1
favour 1
few 1
finding 1
finish 1
following 1
for 8
fringing 1
gentle 1
gives 1
go 1
goes 1
going 1
good 1
gzilt 18
had 3
happen 1
has 12
have 4
having 1
he 4
help 1
her 1
high 3
him 1
his 2
home 2
hour 1
however 4
hydrogen 1
if 2
implanted 1
implied 1
in 6
individual 1
interest 1
into 2
ire 1
is 12
it 13
its 1
join 1
joined 1
joshing 1
just 1
keep 4
keeping 1
kept 1
large 1
last 4
left 1
less 1
lieutenant 1
liseiden 1
long 1
made 2
majesty 1
make 1
manages 2
many 1
meaning 1
meanwhile 1
meet 1
meets 1
memory 1
message 2
met 1
military 1
milquetoast 1
mind 1
mission 1
mistake 4
most 2
move 1
music 1
must 1
my 2
name 1
narrowly 1
ngaroe 2
not 7
notices 1
novel 2
number 1
objects 1
oceans 1
of 32
oldest 1
on 6
once 1
one 5
only 1
other 2
out 3
own 1
party 4
past 1
peevishness 1
permission 1
persuades 1
picked 1
piece 1
plant 1
planted 1
play 1
presences 1
pursues 1
qiria 2
quiet 2
quite 2
real 1
realised 1
really 1
realm 1
record 1
recover 1
referendum 1
refuse 1
regard 1
regiment 7
religion 1
remaining 1
reserve 1
resides 1
reveal 1
revere 1
robots 1
same 2
scavenger 3
seas 1
secret 3
sent 2
setting 1
several 1
shallows 1
she 5
ship 4
ships 2
since 1
so 2
some 2
sonata 1
sort 1
speak 1
spearheaded 1
species 8
spyware 2
squad 1
stand 1
state 1
stated 1
status 1
staying 1
still 2
straight 1
strange 1
subject 1
sublimation 4
sublime 6
sublimed 1
subliming 1
such 3
suggest 1
survivors 1
taken 1
takes 1
taking 1
tasked 1
technologically 1
technology 1
terms 1
terrible 1
that 10
the 83
them 2
themselves 2
then 1
they 5
things 1
this 4
those 1
though 2
time 1
to 32
towering 1
truth 11
try 1
trying 2
turns 1
unfortunately 2
up 1
vast 1
voted 1
vyr 1
want 1
warship 4
was 3
way 1
well 1
what 1
when 2
where 1
which 6
while 1
who 5
whose 1
will 2
wiped 1
wish 2
wishing 1
with 6
within 2
work 1
wrath 1
ximenyr 2
years 2
zidhren 4
zidhrenremnant 1
zidhrenremnanter 2
