10386594
/m/02qb4g5
/m/02qb4g5
Enid Blyton
1945
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 8
about 1
accusing 1
admits 1
allen 1
also 2
and 8
another 1
arabella 1
as 3
at 2
back 1
being 1
birthday 1
biscuits 1
book 2
books 1
buckley 1
but 2
by 2
causing 1
child 1
deliberately 1
discovered 1
disobeyed 1
drops 1
drowning 1
elizabeth 4
ending 1
enters 1
fall 2
feast 1
fellow 2
for 1
framed 1
from 2
games 1
gets 1
got 1
had 1
happy 1
having 1
he 2
head 1
her 14
in 2
into 1
irritating 1
is 6
it 2
julian 3
last 2
locker 1
lose 1
made 2
makes 1
making 4
martin 1
midnight 1
money 1
monitor 3
nose 1
nostrils 1
of 2
old 1
on 3
opening 1
out 1
place 1
playing 1
pocket 1
position 2
powder 1
process 1
putting 1
quarrels 1
real 1
resign 1
risks 1
rules 1
saves 1
school 2
sees 1
selfish 1
send 1
she 3
small 1
sneeze 1
sneezing 1
stealing 1
story 1
student 2
such 1
taking 1
teacher 1
the 7
then 2
there 1
thief 2
thinks 1
thrice 1
tickles 1
to 4
tricks 2
troublebut 1
ultimately 1
unfortunately 1
vain 1
was 1
water 1
when 1
which 1
who 3
with 1
