5746632
/m/0f2gy0
/m/0f2gy0
Kate Constable

a 30
abandoned 2
ability 1
able 1
aboard 2
absorbs 1
achieved 1
acquired 1
again 1
against 1
aid 1
all 8
allowed 1
among 1
an 5
ancient 3
and 22
antaris 3
apparently 1
appearance 1
approach 1
approaching 1
arakin 1
arboreal 1
are 8
as 6
ask 1
at 5
attempts 2
audial 1
away 3
back 1
be 4
beasts 1
because 3
become 3
becoming 1
been 1
befriended 1
befriending 1
befriends 2
being 1
believe 1
bespectacled 1
blow 1
boat 3
body 1
born 1
both 1
breached 1
breeze 1
brings 1
burial 1
but 3
by 12
called 2
calwyn 22
can 3
captain 1
captured 1
caught 1
cause 1
certain 1
chanter 3
chantment 5
chantmentpowered 1
chantments 9
chants 2
city 2
claiming 1
clarion 5
clutching 1
collapses 1
college 1
colleges 1
commands 1
community 2
composition 1
confrontation 1
confronted 1
contemplation 1
control 1
controls 1
convinces 1
crew 5
cross 1
dagger 1
darrow 12
days 1
dead 1
death 1
defeat 1
dependent 1
desires 1
despairing 1
device 1
dies 1
different 1
dock 2
dormant 1
doryus 2
down 1
draconic 1
drug 2
during 1
dwellings 1
effect 1
effects 2
embittered 1
enclosed 1
enter 1
erupts 1
escape 2
escapes 1
escorts 1
eventually 1
everyone 1
eyebrow 1
father 1
feels 1
final 1
finding 1
finds 1
fire 3
first 1
flame 1
fledgewing 3
fledgewings 1
flee 2
flows 1
follows 1
for 8
forests 1
forms 1
four 1
friends 2
from 5
galley 1
genocide 1
give 1
gives 2
giving 1
god 1
great 2
greedy 1
grounds 1
guardian 1
guardians 1
guards 1
had 1
halasaa 2
hand 2
has 5
have 2
he 7
heal 1
heat 1
help 3
her 8
high 1
hightech 1
him 3
himself 1
his 3
hope 1
hopes 1
how 2
ice 3
icecall 1
illusion 1
implies 1
in 11
inanimate 1
including 1
incognito 1
injury 1
inside 1
instead 2
into 6
inventive 1
iron 2
is 18
island 1
islander 1
islanders 1
it 3
its 1
jumping 1
kalysons 1
keeping 1
kill 1
killing 1
know 1
knowledge 1
last 3
later 1
leave 1
leaving 1
left 1
legend 1
life 1
limp 1
lives 1
located 1
lone 1
low 1
maintain 3
make 1
man 2
manage 1
many 2
matter 1
meet 1
meets 2
men 1
mica 4
miles 1
mithate 1
mithates 3
more 1
mountains 1
must 1
mute 1
nearby 1
never 1
new 1
nine 4
not 3
notorious 1
now 1
object 1
of 43
on 7
once 1
one 4
only 2
or 1
other 1
out 1
outsiders 2
overwhelms 1
passed 1
past 1
peace 1
peaceful 1
people 2
permanent 1
perpetrated 1
pirate 1
pirates 6
ponder 1
power 7
powerful 1
powers 4
preventing 1
priestess 3
priestesses 2
protagonists 1
psychokinetic 1
punishment 1
quest 2
reach 2
real 1
realize 1
realizes 1
region 1
remains 1
remnant 1
remnants 1
rendered 1
request 1
revealed 1
revealing 2
river 1
rule 1
running 1
sail 1
sailors 1
same 2
samis 14
scar 1
sea 2
searches 1
seduce 1
see 1
seek 1
seeming 1
sees 1
sell 1
send 1
she 4
ship 1
sing 4
singer 4
singing 3
sings 2
slava 1
slave 1
soft 1
someday 1
song 1
songs 7
soon 1
sorcerer 1
spareth 1
speech 1
spiridrell 1
spot 1
storm 1
strange 1
strengthening 1
student 1
stupor 1
such 1
suffered 1
summon 1
summoned 1
sung 1
survivors 1
swayed 1
swept 1
taken 1
takes 1
teaches 1
telepathic 1
temple 1
terrorizes 1
tests 1
that 11
the 86
their 6
them 8
then 1
there 2
therefore 1
they 9
third 1
this 4
though 2
threatened 1
threatening 1
through 1
thus 1
time 1
to 32
together 1
tone 1
tonno 2
towards 1
tower 1
town 1
trade 1
traffic 1
transforming 1
travel 1
traveler 1
tree 2
tremaris 2
tricks 1
trout 3
true 1
trumpetlike 1
truth 1
try 1
tunic 1
tyranny 1
unable 1
under 1
unidentified 1
united 1
unknowingly 1
use 1
uses 3
using 1
vision 1
voice 1
voices 1
volcano 2
wall 4
wanted 1
wants 1
warmachinemaking 1
warn 1
way 1
when 3
where 5
whereupon 1
which 6
while 2
who 12
wield 1
wildlands 3
will 3
wind 3
windworker 3
with 3
without 1
women 1
world 1
worry 1
xanni 4
young 1
