234555
/m/01j2k1
/m/01j2k1
Yevgeny Zamyatin

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia", "/m/0c082": "Utopian and dystopian fiction"}
a 9
about 1
absence 1
according 1
acts 1
aesthetic 1
after 3
aims 1
alcohol 1
all 3
although 1
an 3
ancient 2
and 11
animal 1
any 1
apartment 1
applying 1
are 7
around 1
arranges 1
arrested 1
as 2
assigned 2
at 3
attraction 1
authority 1
baby 1
be 5
bear 2
been 4
begins 2
being 2
benefactor 3
best 1
between 1
birds 1
bodies 1
both 1
brain 1
bring 1
building 2
built 1
bureau 2
but 1
by 6
cannot 2
carefully 1
carried 1
certain 1
chief 1
child 1
children 1
cigarettes 1
circumstances 1
citizens 3
city 2
citystate 1
committing 1
completed 1
comrades 1
conquer 1
conquest 1
considered 1
corrupt 1
could 1
covered 1
d503 17
death 1
deeply 1
denounce 2
despite 2
destroy 1
destroyed 1
disturbs 1
doctor 1
doubt 1
down 1
dreams 2
drinks 1
dug 1
emotions 1
ends 1
engineer 1
entire 1
entry 1
even 1
except 1
executions 1
explain 1
expresses 2
extraterrestrial 1
fascinated 1
final 1
finds 1
flirts 1
for 5
forcibly 1
friend 1
from 3
fur 1
gathers 1
glass 1
great 1
green 4
grieved 1
guardians 2
has 3
have 2
he 4
her 8
highly 1
him 5
his 4
historical 1
hope 1
horror 1
house 2
however 2
humans 1
i330 9
illegal 1
illegally 1
illness 1
imagination 1
impersonal 1
importance 1
impregnate 1
in 9
indifferently 1
induce 1
informed 1
inhabitants 1
inner 1
inside 1
insists 1
instead 1
integral 2
intends 1
invade 1
invites 1
involved 1
is 9
journal 2
last 1
law 1
laws 1
leaving 1
life 1
like 1
lives 1
lobotomy 1
lover 2
machine 1
mandated 1
mantra 1
meanwhile 2
meets 2
mental 1
mephi 4
named 1
night 1
nights 1
no 1
not 1
notable 1
novel 2
o0 8
obey 1
objects 1
obliges 1
of 19
offers 1
on 2
one 11
only 1
opaque 1
operation 3
or 1
order 2
organization 1
other 2
outside 4
over 1
overcome 1
parted 1
parts 2
people 1
planets 1
pleads 1
plotting 1
poet 1
police 1
pregnancy 1
progresses 1
project 1
public 1
r13 1
raised 1
reads 1
realizes 1
reason 1
rebellion 1
recent 1
recently 1
refusal 1
relates 1
removes 1
repeated 1
repelled 1
repopulating 1
request 1
restore 1
reunite 1
reveals 1
revolution 1
rift 1
secret 2
sentenced 1
services 1
sex 1
shall 1
shamelessly 1
she 4
short 1
similar 1
slowly 1
smokes 1
smuggled 1
social 1
spaceship 1
start 1
state 12
stored 1
strength 1
struggles 1
subjected 1
surprise 1
surrounds 1
symptom 1
table 1
takes 1
targeting 1
that 8
the 49
their 1
them 1
there 4
these 1
this 2
those 1
thought 1
thousand 1
through 1
tied 1
to 26
too 1
torture 1
tunnels 1
turning 1
under 2
up 1
upon 1
uprising 1
verse 1
visit 3
vows 1
walk 1
wall 4
watched 1
which 4
while 1
who 3
whose 1
will 1
willingly 1
windows 1
with 9
woman 1
work 1
workings 1
world 4
xrays 1
years 1
