9250929
/m/0281p2g
/m/0281p2g
Mal Peet
2003-10-06
10000 1
15 1
a 13
abandoned 1
about 2
after 1
also 1
always 1
an 1
and 8
as 5
at 2
be 1
because 1
becomes 1
begins 1
book 2
boss 1
brings 1
buying 1
by 1
call 1
calling 1
camp 1
career 1
changes 1
charade 1
cheated 1
coached 1
collection 1
come 1
continues 2
contract 1
convinces 1
coworkers 2
cup 2
dasilva 1
director 1
does 1
dollars 1
dsj 1
during 1
el 17
end 1
entry 1
eventually 1
expected 1
explains 1
family 1
fascination 1
father 1
faustino 7
field 1
finally 1
finds 1
first 2
for 4
game 2
games 1
gato 15
ghost 1
give 2
goalkeeper 1
had 1
has 1
he 14
helps 2
hesitates 1
hidden 1
him 6
his 20
history 1
honest 1
however 2
imagined 1
in 7
industry 1
interview 4
interviewer 1
interviewing 1
into 2
invite 1
is 7
journalist 1
just 1
keeper 5
known 1
la 1
ladron 2
last 1
like 1
logging 1
longer 1
looks 1
lying 1
materials 1
meaning 1
mind 1
mr 1
mrs 1
nacin 1
named 1
naturalist 2
nature 1
new 1
next 1
no 1
not 1
novel 1
of 5
others 1
out 1
owners 1
parents 2
paul 2
penalty 1
play 2
player 2
plays 1
practice 1
professional 1
professor 1
quits 1
rainforest 2
real 1
reality 1
recent 1
result 1
reveals 1
saturday 2
second 1
secretly 1
seems 1
shot 1
sign 1
since 1
soccer 6
start 1
story 1
takes 1
team 2
teenage 1
teenager 1
tell 2
telling 1
tells 3
that 5
the 26
they 1
thief 1
thinks 1
this 2
time 1
to 12
training 1
trains 1
truth 1
turn 1
turns 1
two 1
until 1
want 1
wants 1
when 2
who 1
will 1
win 2
with 5
work 2
working 1
world 2
year 1
years 1
young 1
