8093800
/m/0fdrlc
/m/0fdrlc
Karen Traviss

{"/m/06n90": "Science Fiction"}
1 1
24 1
4 2
a 31
abbes 1
aboard 1
aby 1
accelerate 1
across 1
act 1
acted 1
actually 1
adopts 1
after 2
again 1
agrees 1
alias 2
all 1
alone 1
along 1
already 1
amends 1
an 3
and 19
anor 10
another 2
any 1
anything 1
appears 1
are 3
around 2
arrival 1
arrivals 1
arrives 2
art 1
as 10
asks 7
assassinate 1
assault 3
assist 1
assumes 1
asteroid 1
at 4
awaits 1
battle 1
be 3
becomes 1
been 1
before 1
believe 1
believes 2
believing 1
best 2
better 1
beviin 1
bevin 11
birgis 2
blow 1
board 1
boba 2
both 1
bounty 1
briika 3
but 5
by 1
can 4
capital 1
capture 1
carries 1
cham 1
chased 1
citizen 1
city 1
civil 1
client 1
collect 1
collected 1
come 1
comes 1
coming 1
commandos 1
confirms 1
contact 2
contemplates 1
continue 1
continued 1
coruscant 1
course 1
cover 1
crushgaunts 1
culture 1
cuyval 1
damage 1
dar 1
datachip 1
daughter 1
day 1
dead 1
deal 1
dealer 1
dealing 1
defenses 1
designed 1
did 1
died 1
dies 1
digest 1
dinua 1
discreetly 1
diverted 1
do 4
down 1
drops 1
during 1
efficient 1
elsewhere 1
encounter 1
encounters 1
engineers 1
enslaving 1
ensure 1
enter 1
erase 1
even 1
eventually 1
everyone 1
everything 1
exaggerated 1
exchange 1
explains 1
face 4
fake 1
falls 1
far 1
fatally 1
female 1
fett 27
few 3
fight 3
fine 1
finger 1
first 2
fleet 1
followed 1
for 13
formation 1
from 4
fuel 1
galaxy 3
gather 1
gebbu 1
gives 2
goran 1
greatly 1
grim 1
hand 1
hands 1
happened 1
harder 1
has 4
hasnt 1
have 2
he 28
helmet 1
help 1
helska 1
her 1
hidden 1
him 5
hinder 1
his 12
holgha 3
hopes 2
how 1
however 1
humans 1
hutt 1
if 4
impatient 1
in 8
industrial 1
information 1
inside 1
instead 2
intel 7
intelligence 1
into 2
invaders 1
invasion 4
is 9
it 5
its 2
jeban 1
jedi 7
job 1
just 1
kedalbe 1
keeping 2
kill 2
killed 1
killing 1
kind 1
knows 2
kubariet 6
landing 1
lays 1
lead 1
league 1
leave 1
leaves 2
left 1
levels 1
lie 1
lies 1
list 1
location 2
lower 1
made 1
main 1
make 2
makes 2
man 2
mandalore 5
mandalorian 5
mandalorians 8
masquerade 1
meanwhile 1
meet 3
meeting 1
mercenaries 1
miid 1
miit 1
militias 1
misgivings 1
mission 2
moment 1
months 1
more 2
much 1
named 3
nar 1
nature 1
new 8
next 2
no 1
nodes 1
nom 6
not 1
notes 2
now 2
number 1
observes 1
obviously 1
of 19
off 2
on 13
once 1
one 2
only 3
opens 1
orders 1
others 3
out 1
over 1
own 3
pare 1
part 1
parts 1
pass 3
passing 2
pedd 1
perlemian 1
pilot 1
plan 1
planet 3
planetary 1
planets 1
planned 1
plans 9
play 1
politician 1
posing 1
possible 1
prior 1
promise 1
provides 1
pursuit 1
quickly 1
reaches 1
ready 1
realizes 1
recruits 1
reflects 1
reliable 1
relocated 1
remains 1
reminded 1
removing 1
rendezvous 1
report 1
reports 1
republic 9
rest 1
return 1
reveal 1
rodian 1
roik 2
route 2
runs 1
sabotaged 1
same 2
samples 2
sarlacc 1
savagery 1
saved 2
saving 1
says 1
scalps 1
scans 1
scouts 1
second 1
sector 1
secure 2
select 1
serious 1
service 1
shaddaa 1
shaping 1
she 2
ship 4
simply 1
skeptical 1
slave 1
so 1
sold 1
soon 2
source 1
space 1
spaceport 2
spare 1
spearhead 1
specifically 1
stalls 1
stays 1
still 2
story 1
subdue 2
suffers 1
sure 1
survivors 1
take 2
target 2
tells 1
ter 1
that 12
the 86
their 5
them 7
then 4
there 1
they 1
this 2
though 2
through 2
time 3
to 46
touring 1
track 1
trade 1
train 1
traveling 1
trigger 2
troops 3
trophy 1
true 1
trusting 1
typically 1
udelen 3
ultimately 1
under 2
undercover 1
unevacuated 1
unsure 1
use 3
using 1
vision 1
vital 1
voices 1
vong 16
wait 1
wants 1
war 1
warrior 6
warriors 1
warship 1
way 2
weapons 1
week 1
what 3
when 6
where 1
while 7
who 3
will 9
with 8
without 1
witness 1
wont 1
working 3
works 1
world 2
wounded 1
xwing 1
you 2
yuuzhan 5
zone 1
