3530440
/m/09jrnt
/m/09jrnt
Josephine Tey

{"/m/0lsxr": "Crime Fiction", "/m/0py65": "Historical whodunnit"}
110 1
a 14
able 1
accepted 1
accused 1
acquaintances 1
adopts 1
against 1
alan 2
alleged 1
also 1
american 1
an 1
and 10
any 2
appearance 1
appears 1
are 2
as 5
at 1
attainder 1
author 2
authority 1
bacon 1
be 1
becomes 1
bed 1
being 2
believed 2
bill 1
book 2
bored 1
boston 1
british 1
broken 1
brought 1
but 1
by 5
case 2
certain 1
character 2
claim 1
come 1
comes 2
commonly 1
conclusion 1
confined 1
constructed 2
convicted 1
coroner 1
cruel 1
daughter 2
death 1
deliberately 1
depiction 1
describe 1
despite 1
detective 1
documents 1
events 1
everyone 1
evidence 1
explores 1
fabrication 1
fact 1
false 1
falsified 1
fired 1
five 1
for 1
foul 1
francis 1
friend 1
friends 1
from 2
further 1
gentle 1
grant 5
great 1
he 4
help 2
him 2
himself 1
his 2
historical 3
history 3
hospital 1
how 3
hunchback 1
iii 3
image 1
in 5
information 1
inquest 1
inspector 1
intrigued 1
investigates 1
is 7
it 1
kind 1
king 3
lack 1
leg 1
legal 1
less 1
life 2
logic 1
man 1
margaret 1
martyrdom 1
mary 1
massacre 1
mind 1
monstrous 1
much 1
murderer 2
museum 1
myths 3
never 1
not 1
novels 1
of 23
on 2
or 2
other 3
out 1
person 1
play 1
points 1
pondering 1
popular 1
portrait 1
prevailed 1
prides 1
princes 2
proceeding 1
propaganda 1
public 1
queen 1
quote 1
read 1
reproduction 1
researcher 1
restless 1
richard 5
riot 2
same 1
saw 1
scotland 1
scots 1
seems 1
sir 1
so 1
spends 1
story 1
such 2
sure 1
term 1
that 7
the 33
their 1
there 1
this 1
time 2
title 1
to 9
tonypandy 3
touched 1
tower 2
traditional 1
troops 1
truth 2
tudor 1
tudors 1
understand 1
upon 1
using 1
version 1
versions 1
victorious 1
was 2
ways 1
weeks 1
who 1
why 1
widely 2
wilson 1
wise 1
with 3
yard 1
