2488209
/m/07hdl8
/m/07hdl8
Thomas Mann
1939
{"/m/05hgj": "Novel"}
40 1
a 4
affair 1
after 1
afterwards 1
again 1
aggression 1
already 1
also 1
and 10
another 1
around 1
artistic 1
as 2
became 1
been 1
beloved 1
between 1
book 2
both 1
brought 1
but 1
by 2
certain 1
changes 1
chapter 1
charlotte 4
come 1
concerns 1
confronted 1
creation 1
creations 1
degree 1
demanding 1
depiction 1
dialogues 1
directly 1
done 1
due 1
early 1
echoes 1
ended 1
engaged 1
entire 1
events 1
famous 1
famousinfamous 1
fictional 1
figure 1
finally 1
for 1
genius 3
german 2
give 1
goethe 8
had 2
has 1
he 1
her 4
him 1
himher 1
himself 1
his 2
hisher 1
historical 1
in 7
inadvertently 1
interests 1
internal 1
is 6
issue 1
it 1
kestner 1
last 1
life 1
lotte 1
loved 1
make 1
man 1
mann 1
married 1
military 1
monologue 1
more 1
most 1
motifs 1
must 1
name 1
need 1
not 1
novel 1
of 17
old 1
on 1
one 2
only 1
opinions 1
oppression 1
or 1
other 1
own 1
people 1
promote 1
published 1
question 1
reader 1
real 2
remained 1
renown 1
resident 1
residents 1
rest 1
return 1
returns 1
romance 1
romanced 1
romantic 1
sacrifices 1
see 1
separation 1
settle 1
seventh 1
she 2
so 1
social 1
some 2
sorrows 1
starting 1
still 1
story 2
subtle 1
supporters 1
than 1
the 24
their 1
then 1
these 1
they 1
thinks 1
third 1
title 1
to 9
too 1
truly 1
ultimately 1
unconsummated 1
under 1
underlying 1
unwillingly 1
ways 2
weimar 4
were 1
werther 1
werthera 1
what 2
when 1
whether 1
which 1
who 2
whom 1
with 4
world 1
written 1
wrongs 1
wrote 1
years 1
young 2
