32632532
/m/05zk6y5
/m/05zk6y5
Victoria Holmes
2009-11-24
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 18
about 2
accuses 1
across 1
affects 1
after 3
afterward 1
again 1
agree 1
agrees 1
aided 1
aids 1
all 3
allows 1
also 3
although 1
an 1
and 44
animals 2
another 1
appears 1
apprentice 1
apprentices 1
approximately 1
are 7
as 5
at 4
attack 3
attacking 1
attempts 1
away 2
back 3
badly 1
battle 1
be 3
beaver 1
beavers 3
become 1
becomes 2
been 2
before 1
being 1
believed 1
believes 1
berrynose 4
between 2
birth 1
blocks 1
book 1
breezepelt 7
bring 1
brokenstar 2
brown 1
building 2
but 6
by 4
called 1
camp 1
can 1
cat 5
cats 8
chases 1
chosen 3
cinderheart 1
claims 1
clairvoyance 1
clan 2
clans 6
come 1
comes 1
comfort 1
conclusion 1
confesses 1
confront 1
cranky 1
creates 2
dam 7
dark 3
declares 1
disappears 1
does 3
dove 1
dovekit 1
dovepaw 10
dream 2
dreams 1
drought 1
due 1
during 1
each 2
earlier 1
eat 1
encounter 1
end 2
especially 1
eventually 1
expresses 1
fact 1
far 1
fight 1
find 2
finding 1
firestar 3
first 1
fish 2
following 1
follows 1
for 1
forces 1
forest 4
four 2
fourth 1
from 5
full 1
gathering 1
gentle 1
get 1
gives 2
go 1
greater 1
greenleaf 1
had 1
hard 1
has 2
have 1
hawkfrost 1
he 3
hear 1
hears 1
heavy 1
help 3
her 12
him 4
himself 1
his 2
honeyfern 1
how 1
however 1
if 1
immediately 1
in 11
include 1
interrupted 1
is 14
it 2
ivykit 1
ivypaw 2
jay 1
jayfeather 10
jealous 1
jigsaw 2
joining 1
journey 4
killing 2
kits 3
kittypets 3
lake 3
later 2
leader 1
leave 1
leopardstar 1
like 1
lion 1
lionblaze 10
loner 1
longer 1
losing 1
love 2
main 1
meanwhile 1
medicine 2
meet 2
meeting 1
mentor 1
met 1
monthly 1
months 1
moon 1
moonpool 1
moons 1
more 1
move 1
must 1
named 2
needs 2
nightly 1
no 2
not 3
noting 1
novel 1
nursery 1
of 18
off 2
old 1
on 6
one 1
only 1
opens 1
order 1
other 3
out 2
outraged 1
over 1
owned 1
ownership 1
past 1
patrol 3
peace 1
pen 1
petalfur 1
place 1
plan 5
poppyfrost 5
power 3
powers 1
prevent 1
prey 1
prophecy 3
proud 1
prove 1
quiet 1
rabbits 2
realize 1
realizing 1
receives 2
recruited 1
refuse 1
rescue 1
return 1
revealed 1
rid 1
rippletail 2
rising 1
river 2
riverclan 4
roaring 1
rule 1
says 1
sedgewhisker 1
see 1
seeing 1
seems 1
seen 1
sees 2
sending 1
set 2
seville 2
shadowclan 1
sharpeyed 1
she 6
shocked 1
shows 1
shrinking 1
sister 1
six 1
snowdrop 2
so 2
some 1
soon 1
speaks 2
special 1
spotting 1
starclan 4
stay 1
stealing 1
stop 1
stream 1
streambed 1
strong 1
successfully 1
suffering 1
summer 1
sunrise 1
take 2
takes 1
taught 1
tell 1
tells 3
terrified 1
territory 1
than 1
that 17
the 59
their 2
them 6
then 1
there 1
therefore 1
they 8
things 1
third 1
this 2
though 1
three 3
thunderclan 1
thunderclans 1
tigerheart 2
tigerstar 4
to 25
toadfoot 1
told 2
tom 1
too 2
towards 1
trained 1
travel 2
traveling 1
trip 1
truly 1
try 1
two 1
twolegs 1
unclog 1
unclogged 1
unhappy 1
unknown 1
until 1
up 6
upstream 1
using 1
very 1
visits 1
want 1
war 2
warrior 1
was 3
watching 1
water 1
way 2
well 1
when 3
which 1
whitetail 1
who 1
whole 1
whose 1
will 3
windclan 1
wing 1
with 4
woody 1
worried 1
would 1
wounding 1
yellowfang 2
