10605939
/m/02qk071
/m/02qk071
William Ernest Bowman

{"/m/014dfn": "Speculative fiction"}
12 1
40000 1
a 9
adventures 1
all 2
along 1
an 3
and 10
another 1
aplomb 1
approaching 1
as 3
asked 1
assembles 1
at 1
attempt 1
attributes 1
been 2
belches 1
binder 3
blanc 1
british 1
brought 1
burley 1
but 1
by 3
celebrate 1
chairman 1
champagne 1
chaotic 1
climb 3
climbed 1
climbers 2
climbing 2
codename 1
colleague 1
committee 1
competence 1
constant 2
consumption 1
continue 1
contrary 1
cook 1
country 1
crevasse 1
demonstrate 1
develops 1
do 1
does 1
doodle 3
during 1
each 1
elevation 1
embarks 1
en 1
endangered 1
endures 1
ensue 1
eventually 1
example 1
expedition 4
expeditions 1
fall 1
feet 1
fictional 1
field 1
find 1
finder 1
food 1
for 4
gastrointestinal 1
great 1
group 2
grpon 1
guides 1
handles 1
has 1
have 1
havering 1
having 2
he 2
highest 1
hijinks 1
him 2
hinges 1
hire 1
his 3
however 1
hugeley 1
illnesses 1
in 6
indigenous 2
indispensable 1
inedible 1
inept 1
inevitable 1
informed 1
intention 1
into 1
invariable 1
is 4
it 2
its 1
jungle 1
knife 1
language 1
lead 1
leads 1
linguist 1
literature 1
lofty 1
lusted 1
make 1
man 2
manage 1
many 1
medicinal 1
mishaps 1
mispronounces 1
mont 1
mountain 4
mountaineering 1
mountains 1
narrator 1
neverending 2
nominal 1
not 2
of 12
offends 1
on 3
once 1
one 2
only 1
parodied 1
parodies 1
partners 1
party 1
photographer 1
physician 1
play 1
pong 1
porters 3
positive 1
powerful 1
produces 1
prone 3
pronounced 1
purposes 1
quest 1
quite 2
radio 1
rapidly 1
reaching 1
reassured 1
remote 1
rescue 1
right 1
roles 1
route 3
rum 3
rumbles 1
said 1
scientist 2
see 1
seen 1
series 2
share 1
sherpa 1
sherpas 1
short 1
shute 1
sir 1
so 1
somehow 1
sometimes 1
species 1
spire 1
sponsor 1
strong 1
stumble 1
summit 1
team 1
that 5
the 41
these 1
they 3
thing 1
to 16
top 1
totter 1
tow 1
tries 1
typically 1
unsuccessfully 1
up 1
utterly 1
variously 1
warple 1
were 1
wharton 1
where 1
while 1
who 1
wielding 1
wife 1
wish 2
with 3
without 1
word 1
world 1
wrong 1
yogistan 3
yogistani 3
yogistanis 1
