1097220
/m/045rp1
/m/045rp1
Brian Jacques
2001
a 25
able 2
about 4
abused 1
abuses 1
accidentally 1
across 1
after 3
again 1
ageless 1
alex 2
almshouse 1
america 1
amy 2
an 7
ancestor 1
and 33
angel 4
another 1
antagonistic 1
apparent 1
apparently 1
appears 2
are 5
artifact 1
as 7
asia 1
ask 1
at 5
attempt 1
attempts 1
away 1
be 3
becomes 1
been 2
befriended 1
beginning 1
believed 2
bell 4
ben 5
blesses 1
both 1
boy 3
bullies 1
but 3
by 7
byzantine 1
can 2
cape 1
captain 2
carpenter 1
cement 1
centuries 1
changed 1
chapelvale 4
character 1
characters 1
children 1
claim 1
clue 3
clues 2
come 1
communicate 1
continues 1
converted 1
cook 1
country 1
course 1
crew 2
cruel 1
curses 2
day 2
dealer 1
decide 1
deeds 3
den 3
denmark 2
descends 1
dies 1
discovery 1
disliking 1
does 1
dog 3
dream 1
drinking 1
dutchman 1
each 1
earth 1
emeralds 1
end 1
esbjerg 1
escape 1
eternity 1
ewe 1
excited 1
factory 1
family 1
fast 1
fearsome 1
find 1
finds 1
first 1
flying 1
follow 1
fond 1
for 4
forever 2
found 5
fourteenyearold 1
friends 1
friendship 1
from 3
gang 2
get 2
getting 1
girl 1
give 1
given 1
go 2
going 1
grange 1
group 1
grows 1
guidance 1
hardest 1
has 1
have 4
he 6
hear 1
heaven 1
her 1
hides 1
him 3
his 2
horn 1
however 2
hunt 1
immediate 2
in 7
informs 1
into 1
introducing 1
is 17
it 4
jingling 1
john 1
jon 1
kindhearted 1
kindness 1
knowing 1
lady 1
last 2
later 2
leader 1
leads 1
leave 3
life 1
limestone 1
lived 1
local 1
location 1
long 1
lord 1
loud 1
luis 2
mad 1
made 1
man 1
many 1
may 1
meet 1
milkman 1
motley 1
move 1
mrs 4
must 4
mute 1
named 6
nameless 1
names 3
neb 4
nebuchadnezzar 2
neck 1
ned 4
no 1
not 2
now 2
ocean 1
of 12
off 2
old 1
on 7
once 1
one 3
onto 1
orphan 1
other 1
out 2
overboard 1
parents 1
part 1
pass 1
past 1
petros 2
picks 1
port 1
property 1
quarry 1
realizes 1
reversing 1
run 1
running 1
sacks 1
safe 1
sail 1
sails 1
save 2
saved 1
seas 1
series 1
several 2
sheep 1
shepherd 1
ship 5
shore 1
short 1
show 1
slips 1
smiting 1
so 1
sound 3
south 1
spending 1
starts 1
steers 1
storm 1
story 2
stowaway 1
strike 1
supposedly 1
taken 1
takes 1
team 1
telling 2
that 7
the 47
their 3
them 8
they 16
thing 1
third 1
thought 1
three 2
throws 1
times 1
tip 1
to 22
together 1
too 1
town 3
train 1
treacherous 1
treasure 2
treasures 1
try 1
trying 1
undead 1
under 1
unsuccessfully 1
until 2
up 5
vaguely 1
vanderdecken 2
village 2
voyage 1
walk 1
walking 1
wanders 1
warn 1
was 1
wash 1
way 1
well 1
where 1
wherever 1
which 4
while 1
who 5
wild 1
wilf 1
will 3
winn 4
wise 1
with 4
without 1
work 1
written 1
years 2
young 2
