1344916
/m/04vdtl
/m/04vdtl
Meg Cabot
2002
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 1
always 1
american 1
an 1
and 1
apart 1
assassinating 1
at 1
been 1
bootsin 1
but 1
celebritydining 1
combat 1
compensation 1
course 1
crazy 1
david 1
does 1
easy 1
fact 1
famous 1
for 1
from 2
hamburgers 1
has 1
having 1
house 1
in 1
instant 1
is 1
lives 1
madison 1
not 1
now 1
of 1
on 1
one 1
only 1
ordinary 2
out 1
president 1
presidents 1
psycho 1
sam 2
she 2
sistersof 1
someone 1
something 1
son 1
stops 1
the 3
then 1
there 1
totally 1
two 1
utterly 1
weird 1
white 1
who 1
world 1
