1810427
/m/05yrl9
/m/05yrl9
Elizabeth Levy
1983
183 1
400 1
a 13
academy 1
accuses 1
action 1
actually 1
adam 10
adding 1
afford 2
after 3
aisles 1
alarm 2
all 1
allison 1
an 7
and 13
any 1
anyone 1
approaches 1
as 11
asking 1
at 9
attends 1
attributes 1
audio 1
babysit 1
bans 1
bathroom 1
be 3
because 1
becomes 1
bed 1
before 1
begins 2
behavior 1
being 1
believes 1
beware 1
board 1
book 1
borrowed 1
both 1
box 1
buffalo 1
but 3
by 2
california 1
call 1
can 2
cannot 2
cassette 1
catalyst 1
caught 1
central 2
chess 8
children 1
class 1
clerk 1
clock 7
complicated 1
computer 2
computers 1
confesses 1
consequence 1
could 1
covet 1
create 1
creepy 1
daring 1
day 3
deducted 1
designated 2
development 1
device 1
did 2
disparity 1
do 3
does 2
door 1
dragons 2
dungeons 2
duty 1
dwells 1
each 1
earn 1
earns 1
electronic 1
electronics 3
enters 1
escape 1
execute 1
expensive 1
explains 1
extra 1
fact 1
family 3
fashion 1
father 1
feared 1
feel 1
finds 2
first 1
for 4
francisco 1
free 1
friend 1
friends 3
from 5
full 1
funds 1
game 2
go 1
grader 1
guilt 2
had 2
handheld 1
has 2
have 1
he 37
heavily 1
her 3
hid 1
him 3
himself 1
his 21
however 1
hurt 1
i 1
idea 1
if 1
in 9
inadvertently 1
incident 1
includes 1
income 1
injury 1
insult 1
into 3
is 13
it 6
item 1
jesse 2
kept 1
knows 1
last 1
later 1
least 2
leaves 1
local 1
lock 1
losing 1
lowermiddle 1
luke 1
lying 1
machine 4
makes 1
mall 4
matches 1
message 4
mind 3
missing 1
model 1
moments 1
money 1
monopoly 1
more 2
moved 1
must 1
named 1
new 2
next 2
night 1
no 2
not 6
notice 1
now 2
occasionally 1
of 11
often 2
old 1
on 3
once 1
one 3
only 2
opportunity 1
or 1
ordinary 1
overcome 1
overjoyed 1
parents 3
particular 1
passersby 1
paycheck 1
person 1
pilfers 1
placed 1
places 1
plan 2
play 2
played 1
plays 2
plot 2
police 1
portable 1
practice 1
prerecorded 1
private 1
protagonist 1
pulse 1
punish 1
pushing 1
puts 1
quickly 2
racked 1
radio 8
rather 1
read 1
reads 1
realizes 1
receives 1
recently 1
recognize 1
recorder 1
recording 1
remaining 1
returned 1
returning 1
returns 3
reveals 1
sales 1
same 1
san 1
say 1
scheme 1
scholarship 1
school 2
serves 1
set 1
setting 1
she 2
shops 1
should 1
simply 1
sister 3
sixth 1
sleeper 1
socializes 1
son 1
spends 2
st 1
standards 1
stealing 1
store 8
stroller 2
student 1
suspect 1
takes 2
talking 2
tape 2
task 1
than 2
that 9
the 54
theft 1
their 1
then 1
they 1
thief 1
this 5
though 1
through 1
thus 1
time 5
title 1
to 19
total 1
toy 1
tracey 2
transgression 1
two 1
ultimately 1
upon 1
use 1
usually 1
vanessa 3
virtue 1
waking 1
watching 1
wealthy 1
well 1
when 1
whether 1
which 5
while 1
who 2
whom 1
will 2
winner 1
wish 1
with 10
without 2
word 1
working 1
would 3
wrath 1
year 1
york 1
you 2
