4071305
/m/0bglzf
/m/0bglzf
Arthur Ransome
1936
a 12
about 2
above 1
after 2
ahead 1
all 1
allow 1
allowed 1
almost 1
amazons 1
america 3
amount 1
an 5
and 11
any 1
aqua 2
are 3
armadillo 1
arrive 1
arrives 1
as 5
at 1
available 1
be 2
because 1
beckfoot 2
been 3
blackett 1
bob 1
book 1
box 1
breaks 1
but 3
by 3
call 1
callum 1
camp 1
campfire 1
camping 1
can 2
captain 7
cave 1
charcoal 1
chemical 1
children 1
closer 2
colonel 1
conditions 1
cook 1
copper 4
crucible 1
crush 1
daily 1
days 1
deduce 1
dick 4
disappears 1
dissolve 1
dissolves 2
does 3
doing 1
down 1
dowsing 1
drought 1
ds 1
enough 1
eventually 1
every 1
expedition 2
explains 1
exploring 1
extinguished 1
fact 1
family 1
farm 1
fear 1
fells 4
fighters 1
find 2
finds 2
fire 3
fires 1
first 1
flint 7
for 6
found 2
friend 1
from 2
furnace 1
garden 1
get 1
give 1
gold 7
goldcoloured 1
ground 1
grounds 1
had 2
has 6
hat 2
have 1
he 5
help 2
her 1
high 1
him 1
himself 1
his 3
home 2
homing 2
improvement 1
in 14
ingot 1
instead 1
into 1
introduce 1
is 8
it 1
its 1
james 1
jolys 1
keep 1
let 1
little 1
loose 1
lost 1
made 2
make 1
melt 1
message 2
mine 1
miner 1
mineral 1
miners 1
move 2
mrs 1
musters 1
name 1
near 1
new 1
not 5
notice 1
of 7
old 2
on 4
one 1
only 1
ore 1
other 2
over 1
pernambuco 1
pigeon 1
pigeons 2
place 1
plans 1
pleased 1
prospect 1
prospecting 7
proving 1
purpose 1
putative 1
pyrites 1
quick 1
read 1
regia 2
returning 1
returns 1
revealed 1
rings 1
rival 1
rush 1
sailing 1
save 1
seam 2
send 1
sent 2
shows 1
shy 1
slate 1
slater 1
small 1
solvent 1
south 3
spring 1
squashy 2
stay 1
story 1
study 2
substance 1
swallow 1
swallows 1
talked 1
tells 1
test 1
tests 2
that 7
the 24
them 2
there 1
they 12
this 1
timothy 4
titty 2
to 16
too 2
topps 3
touch 2
trip 1
turner 1
tyson 2
unfortunately 1
unsuccessful 1
up 1
urgent 1
using 1
volunteer 1
ways 1
when 2
while 1
who 3
with 5
word 1
