23974460
/m/076z3zx
/m/076z3zx
Paul Ruditis

a 1
able 1
altered 1
an 2
and 5
archer 2
are 1
as 1
can 2
captain 2
closing 1
colonosts 1
colony 1
command 1
contact 1
convince 1
crew 1
crewman 1
danger 1
dangerous 1
daniels 1
deepspace 1
despite 1
destroyed 1
do 1
enterprise 5
entire 1
escape 1
events 1
explore 1
explosion 1
gas 1
he 1
high 1
his 1
history 1
humans 1
hundrec 1
incident 1
information 1
innocent 1
is 5
it 1
land 1
makes 2
matriarchal 1
must 1
mysterious 1
not 1
nothing 1
nx01 1
occurs 1
offers 1
out 1
paraagan 1
plasma 1
precuation 1
prove 1
ready 1
recalled 1
records 1
sets 1
shuttle 1
so 1
society 1
space 1
starship 1
still 1
suggestion 1
superiors 1
surface 1
that 1
the 13
their 1
they 1
thirtysix 1
this 2
time 1
timeline 1
to 4
traveling 1
understands 1
unusually 1
vaprozing 1
vents 1
volatile 1
vulcan 1
what 1
with 2
yet 1
