423573
/m/026rjf
/m/026rjf
Christopher Marlowe
1604

1580s 1
a 28
abilities 1
abjures 1
able 2
about 5
above 1
absence 1
absolute 1
absurdity 1
academia 1
accomplished 1
according 2
act 1
acting 1
actions 1
adieu 1
adopted 1
adoption 1
after 2
again 1
agreement 1
all 3
allotted 1
allowed 1
already 2
also 3
although 1
am 1
ambiguous 1
among 5
an 4
and 61
angel 3
angels 1
anticalvinist 1
anticalvinists 2
any 1
anyone 1
anything 2
apparently 1
appear 3
appearance 1
appeareth 1
appears 1
appreciates 1
are 11
argued 1
arguing 1
arm 1
art 1
as 21
ascribed 1
asking 1
assertion 1
at 5
attention 1
attitude 1
awarded 1
away 1
ay 1
b 1
back 1
bad 2
baptism 1
baro 3
barrett 1
be 19
because 5
been 3
before 1
beginning 1
begins 2
begun 1
being 3
believers 2
belike 1
belonged 1
between 2
bewrayeth 1
beza 1
bind 1
blind 1
blood 2
born 1
break 1
bring 1
bringing 1
brings 2
but 7
by 13
call 2
calls 1
calvin 4
calvinism 2
calvinist 4
calvinists 1
cambridge 2
can 1
cannot 2
carry 1
case 1
cast 3
category 1
causation 1
causeth 1
causing 1
century 2
ceremony 1
challenges 1
change 1
changing 1
che 1
chiefe 1
chorus 1
christian 2
church 2
circle 1
circumference 1
claim 1
claimed 1
class 1
climb 1
close 1
clothes 2
clue 1
coals 1
collect 1
come 2
comes 1
coming 1
commands 1
comments 1
commit 1
communicated 1
complicated 1
complicates 1
conceit 1
concept 1
concerning 1
conclude 2
concludes 1
conclusive 1
confesses 1
confrontation 1
confusion 1
consequently 1
considerable 1
considered 1
contention 1
control 1
controversy 1
cornelius 1
could 1
courtly 1
created 1
creating 1
criticism 1
critics 1
crosse 1
cutting 1
damnation 4
damned 6
day 1
dead 1
deadly 1
deal 2
death 4
debate 2
debated 1
deceive 1
decide 1
decided 1
declares 1
deeds 1
deep 1
deeply 1
degree 1
demands 2
demonstrates 1
denies 1
departure 1
describes 1
deserved 1
despair 2
despite 1
devil 7
devils 4
devotes 1
did 2
die 2
dilemma 2
direction 1
discovering 1
discovery 1
discussed 1
dismisses 1
dispense 1
dispute 1
disregards 1
dissuaded 1
diversity 1
divine 1
divinely 1
divines 1
divinity 3
do 1
doctor 5
doctorate 1
doctrine 5
doctrines 1
does 1
