19116759
/m/04jnb3b
/m/04jnb3b
Rick Riordan
2008-09-09
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
3 1
a 18
about 1
abraham 1
accept 1
after 5
agent 1
alistair 4
all 2
almanac 1
almanack 1
also 4
alternate 1
amadeus 1
amy 10
an 1
anagram 1
and 29
anything 1
are 9
as 1
astrid 1
at 3
aunt 3
austria 1
away 2
barely 1
baseball 1
be 3
beatrice 2
before 1
begins 1
beware 1
black 1
bones 1
box 2
branches 1
brink 1
burns 1
burritosirina 1
but 6
by 4
cahill 5
cahills 4
called 2
cards 1
cat 1
catacombs 1
chain 1
challenge 3
chance 3
change 1
changed 1
chaperone 1
characters 1
charge 1
childrenhamilton 1
choiceone 1
chose 1
church 1
clark 1
clue 3
clues 2
cobras 1
convince 1
coordinates 1
copy 1
dan 12
dead 1
deathbed 1
decide 1
decides 1
dies 1
discourage 1
does 1
dollars 1
down 2
due 1
eisenhower 1
eleven 1
end 1
envelope 3
escape 2
exkgb 1
family 1
famous 1
find 4
fine 1
fire 1
five 1
follow 1
for 5
four 2
fourteen 2
france 2
franklin 4
from 1
funeral 2
game 1
gangsta 1
give 2
gives 2
go 2
goes 1
going 1
grabbing 1
grace 8
grandchildren 1
greatest 2
guardian 1
guess 1
harry 1
has 2
have 3
he 1
head 1
help 1
her 4
history 1
holts 5
home 2
host 1
houdini 1
however 1
ian 1
in 6
including 1
information 1
ingrid 1
insert 1
inside 1
institute 1
instructed 1
internet 1
into 4
introduced 1
inventionsto 1
inventor 1
irina 3
iron 1
is 6
isabel 1
island 1
it 5
jewels 1
jonah 2
jose 1
just 1
kabras 4
kids 1
known 1
last 1
later 1
laying 1
leads 1
leave 1
led 1
lewis 1
library 2
lightning 1
like 1
lincoln 1
location 1
look 1
lured 1
madison 1
madrigals 1
magic 1
main 1
make 1
man 1
mansion 2
marytodd 1
mcintyre 5
means 1
meanwhile 1
microwaveable 1
million 1
minutes 1
money 1
mozart 1
mr 2
mural 1
named 1
natalie 1
ned 1
nellie 3
next 1
nicknamed 1
nonrandom 1
not 3
now 1
number 1
numbers 1
of 13
offer 1
oh 1
on 6
open 1
opens 1
or 1
order 1
original 2
out 3
over 1
parents 1
paris 1
passageway 1
people 2
planted 1
poor 1
print 1
private 1
probable 1
proud 1
puzzle 1
rapid 1
rapper 1
reading 2
reaganeleven 1
reality 1
receive 1
reject 1
requesting 1
resolution 1
resolve 1
richard 2
right 1
rodone 1
room 2
rosenbloom 1
run 1
s 1
saladin 1
saved 1
says 2
scrambled 1
sealed 1
searches 1
second 1
secret 1
seek 1
selection 1
shadows 1
she 1
show 1
shows 1
sinead 1
sister 1
small 1
solute 1
solves 2
some 1
soon 1
spasky 3
starling 1
starlings 2
steps 1
still 1
stolen 1
story 1
succeeds 1
sure 1
taking 1
talks 1
ted 1
telling 1
that 2
the 58
theft 1
their 7
them 10
then 12
there 4
they 12
think 1
this 2
through 1
to 23
told 2
trap 1
trip 1
triplets 1
truly 1
try 1
turn 1
tv 1
two 1
uncle 1
unpredictably 1
until 1
upside 1
vents 1
version 1
vial 3
video 1
vienna 1
wants 3
warning 1
was 2
way 1
were 1
what 1
where 3
which 1
while 1
who 4
will 3
william 3
with 6
wizard 2
wolfgang 1
words 1
yet 1
