13062977
/m/02z51v8
/m/02z51v8
Muhammad Aladdin
2007
26 1
a 9
abortion 1
an 1
and 2
anything 1
artistic 1
as 3
at 1
baby 1
baghdad 1
be 2
because 1
begin 1
being 1
but 1
cant 1
children 1
choice 1
cosmic 1
could 1
country 1
crushed 2
did 1
divorced 1
dumped 1
entering 1
fate 1
father 1
feel 1
final 1
first 1
for 4
forces 1
gives 1
goes 2
going 1
hates 1
have 1
he 7
him 2
hint 1
his 4
in 2
into 1
is 2
it 2
itself 1
last 1
later 1
leave 1
life 1
live 1
man 2
maybe 1
might 1
of 2
older 1
or 2
painter 2
pianist 1
piano 1
prepare 1
received 1
relation 1
relationship 1
scene 1
see 1
shock 1
slave 1
sooner 1
stormy 1
suitcase 1
tells 1
ten 1
than 1
that 1
the 8
then 1
they 2
this 1
to 4
total 1
trainer 1
tv 1
understand 1
up 1
us 2
was 1
watches 1
we 2
what 1
when 1
which 1
who 3
wished 1
wishes 2
with 1
witnessing 1
woman 3
years 2
young 2
