4679704
/m/0cgz9d
/m/0cgz9d
Kyle Smith

11 1
2001 3
86000 1
a 8
advance 1
after 1
age 1
all 2
also 1
although 1
among 1
an 2
and 6
another 1
are 1
around 1
as 3
at 2
attacks 1
be 1
before 1
being 1
believes 1
book 1
bran 1
briefly 1
but 2
car 1
cartoons 1
chapter 1
chapters 1
city 2
couch 1
covered 1
dates 1
day 1
days 3
deal 1
deep 1
desire 1
determined 1
doesnt 1
dollar 1
drinking 1
during 2
each 1
edition 1
editor 2
etc 1
example 1
expensive 1
fancies 1
farrell 1
filled 1
for 2
friends 2
have 1
he 6
high 1
him 1
his 9
home 1
in 7
including 2
interacts 1
is 8
item 2
julia 5
junior 1
just 1
karen 1
kids 1
life 5
like 1
living 1
lots 1
makes 1
man 2
marriage 1
mike 1
months 1
most 1
moves 1
new 3
newspaper 1
not 4
novel 2
of 6
on 1
or 1
others 1
out 1
own 1
owns 1
priced 1
really 1
relationship 2
relatives 1
resides 1
ride 1
rollo 1
said 1
seems 1
september 1
several 3
shooter 1
slice 1
some 1
somewhat 1
start 1
starting 1
story 1
tabloid 3
ten 1
the 9
thirties 1
thousand 1
through 2
throughout 1
to 3
tom 7
tracks 1
trying 1
tv 1
unfortunately 1
visiting 1
watching 1
weekend 1
while 1
who 2
with 6
woman 1
women 1
working 1
works 2
year 2
years 1
york 2
