23958080
/m/0dqrz5
/m/0dqrz5
Diane Duane
2010
{"/m/01hmnh": "Fantasy"}
a 6
achieve 1
against 1
ageold 1
all 1
an 2
ancient 1
and 11
are 1
as 1
bad 1
baffling 1
basic 1
battle 1
be 1
become 1
binding 1
both 2
bottle 2
brand 1
but 2
by 1
callahan 1
can 1
change 1
clues 1
conflictturning 1
conquerable 1
cope 1
darkly 1
defusing 1
determination 1
dont 1
earth 1
elite 1
emerges 1
enemy 1
enmeshes 1
enough 1
even 1
events 1
ever 1
except 1
fascination 1
fellow 1
fight 1
find 1
first 1
free 1
friendly 1
from 1
goals 1
good 1
hands 1
has 1
he 1
her 1
here 1
him 2
his 2
history 1
holds 1
human 1
implacable 1
in 3
inhabitants 2
interplanetary 1
into 2
investigating 1
is 4
its 3
itself 1
key 1
kit 5
last 1
left 3
lie 1
life 1
lifeless 1
longdormant 1
longlost 1
longsought 1
longstanding 1
loyalties 1
magic 1
mars 4
martian 1
martians 1
master 1
may 1
message 1
mind 1
more 3
most 1
must 1
mysterious 1
news 2
nita 3
not 2
now 2
of 8
off 1
on 2
once 1
one 1
only 1
or 1
over 1
own 1
part 1
perilous 1
pick 1
plan 1
planet 1
possible 1
race 1
red 1
repeat 1
rescuers 1
rodriguez 1
seem 1
sends 1
shadow 1
shake 1
shape 1
shortly 1
shot 1
solution 1
soon 1
start 1
strange 2
stretches 1
synergy 1
team 1
tenets 1
terrible 1
than 1
that 7
the 18
their 2
them 1
they 2
theyre 1
things 1
threat 1
threatens 1
to 11
tool 1
true 1
truth 1
uncertain 1
uncorked 1
understand 1
unexpectedly 2
unfold 1
up 1
using 1
vanishes 1
violating 1
war 1
wellintentioned 1
when 2
where 2
who 1
whole 1
will 1
with 3
wizardry 2
wizards 2
world 1
worlds 1
wrong 1
young 1
