4885944
/m/0cslk_
/m/0cslk_
Jeff Smith
1998-09-01
{"/m/01hmnh": "Fantasy", "/m/01z4y": "Comedy"}
a 13
abandoned 1
about 3
accidentally 1
after 2
against 2
ago 1
ahead 1
air 1
all 1
along 1
although 1
an 2
and 29
angry 1
appears 1
are 3
arrived 1
arrives 1
as 5
at 3
attacked 1
attacks 1
away 3
baby 1
back 4
backpack 1
barrelhaven 1
bartleby 4
bears 1
because 1
been 2
before 2
begin 1
being 1
ben 1
bitten 1
bone 5
bones 9
bringing 1
but 2
by 5
calls 1
can 2
carry 2
causing 1
chance 1
chase 1
cliff 2
climbs 1
come 1
company 1
compound 1
concerned 1
could 1
created 1
creature 1
creatures 10
current 1
days 1
debate 1
deciding 1
descend 1
deserting 1
die 1
disappeared 1
discover 2
ditch 1
down 3
dragons 1
dreams 1
during 1
earlier 1
eastern 1
eavesdropped 1
edge 1
effort 1
encounter 3
enraged 1
escape 3
escorts 1
even 1
explains 1
face 1
fall 1
falls 2
familiar 1
far 1
fears 1
ferocious 1
fight 1
finds 1
flee 2
fleeing 1
followed 1
fone 5
for 4
forced 1
forcing 1
fought 1
free 1
friend 1
friends 3
from 4
generated 1
gets 1
giant 1
give 1
given 1
giving 1
go 1
got 1
granma 1
grow 1
hand 1
has 1
hates 1
have 1
having 1
he 5
higher 1
him 6
himself 1
his 3
hooded 3
however 3
illusion 1
illusions 1
in 3
infuriated 1
interlopers 1
into 5
is 5
it 1
ja 12
jaw 3
journey 1
kids 3
kingdok 6
knowing 2
land 1
last 1
leader 1
leave 3
ledge 3
lion 1
locusts 7
long 1
lower 1
lure 1
magic 1
magnificent 1
make 3
manipulate 1
meaning 1
meanwhile 1
medallion 1
minus 1
moment 2
mountain 4
mountains 5
mountainside 2
names 1
narrow 2
new 1
of 5
off 1
on 5
one 5
only 1
onto 2
opportunity 1
or 1
orders 1
orphaned 1
orphans 3
other 2
out 2
pack 1
party 1
phoney 1
possum 3
precarious 1
press 1
pushed 1
raccoon 1
rat 11
rather 1
real 1
realize 1
refuses 1
rejoins 1
remains 1
reveal 1
reveals 1
revenge 1
rise 1
rock 3
roderick 3
roque 12
running 1
sad 1
safety 2
scares 1
scuffle 1
searching 1
see 1
sell 1
seriously 1
set 1
side 2
since 2
smiley 6
split 1
star 1
starts 1
strange 1
stumbles 1
stupid 5
suspicious 1
swarm 1
taciturn 1
tale 1
temple 1
than 1
thanks 1
that 4
the 69
their 9
them 8
themselves 1
then 1
they 13
thin 1
thorn 1
to 20
too 1
towards 1
tracking 1
trapped 1
trek 1
tried 1
try 2
tunnel 1
two 6
unaware 1
unconscious 1
unite 1
unrest 1
until 1
up 4
upon 1
use 1
valley 4
vanishes 1
very 1
watching 1
way 4
were 1
when 1
where 1
while 1
who 3
whole 1
whose 1
will 1
wills 1
with 6
wonder 1
wounds 1
