9274210
/m/0282mpg
/m/0282mpg
Tove Jansson
1965
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 6
about 1
actually 1
also 2
and 4
are 1
arriving 1
as 1
backdrop 1
be 3
befriends 1
big 1
by 1
can 1
desolate 1
dissatisfied 1
family 1
find 3
fisherman 2
fled 1
flowers 1
for 1
from 1
groke 1
grown 1
happening 1
he 1
his 1
home 1
horses 1
house 1
in 2
inexplicable 1
inhabited 1
is 2
island 2
it 2
journey 1
keeper 1
later 1
life 1
lighthouse 3
loneliness 1
lonely 1
lots 1
many 1
misses 1
moomin 2
moominmamma 1
moominpappa 2
moomintroll 1
much 1
nature 1
none 1
novel 2
of 2
off 1
on 3
once 1
only 1
organises 1
out 1
painting 1
part 1
perfect 1
place 1
play 1
sea 4
seem 1
set 1
she 1
since 1
so 2
starts 1
strange 1
that 3
the 14
there 2
they 2
things 1
this 1
to 4
tries 1
understand 1
unfriendly 1
valley 1
very 1
who 1
will 1
with 2
