755109
/m/038l52
/m/038l52
Dan Simmons
2003
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
actual 1
ada 1
after 1
all 1
also 1
an 1
and 7
are 1
as 2
begin 1
but 2
centered 1
centers 1
century 1
character 2
characters 1
climax 1
compare 1
converge 1
course 1
daeman 1
duty 1
earth 1
europan 1
events 3
features 1
firstperson 1
for 1
frame 1
from 1
future 1
futurist 1
gods 1
greek 2
groups 2
hans 1
harman 1
hockenberry 2
homeric 1
humans 1
hyperion 1
iliad 2
in 4
instances 1
io 1
is 2
jovian 1
like 1
mahnmut 1
moravec 2
much 1
named 1
narrative 1
nears 1
novel 3
of 9
on 2
originating 1
orphu 1
other 2
over 1
pasttense 1
presenttense 1
reenacted 1
resurrected 1
robots 1
scholar 1
scientist 1
serve 1
simmons 1
stories 1
system 1
that 1
the 17
thirdperson 1
thousands 2
three 2
to 3
told 1
trojan 2
twentieth 1
twentiethcentury 1
war 1
warriors 1
when 1
where 1
whose 1
written 1
years 2
