5751209
/m/0f2q7q
/m/0f2q7q
Kate Constable

a 22
abandoned 1
abilities 1
able 1
abuse 1
according 1
accuses 1
achieving 1
additionally 1
advanced 1
after 1
again 1
ailment 1
alive 1
all 4
already 1
also 1
among 1
an 5
and 28
animals 1
another 1
antaris 5
apparently 1
appears 1
appeasing 1
approach 1
are 6
argues 1
arrived 1
as 2
asleep 1
at 2
attack 1
attributes 1
awakens 1
barn 2
be 3
became 1
become 1
been 1
before 3
befriends 1
begins 2
being 1
believes 1
below 1
bent 1
better 1
between 4
bond 1
both 1
bringing 1
broken 1
burn 1
but 4
by 7
called 2
calm 1
calwyn 25
can 2
captured 1
caused 2
chanters 1
chantment 7
chantments 3
characters 1
cityspacecraft 1
clarion 4
code 1
colonists 1
combined 1
comes 1
common 1
connections 1
conquer 1
continues 1
contracted 3
contracts 1
corpses 1
creates 1
crippled 1
cruel 1
culminating 2
custom 1
darrow 3
death 1
desires 1
destroyed 1
died 2
difficulty 1
disfavor 1
does 1
down 1
drowning 1
drugged 2
drugs 1
during 3
dwellings 2
each 1
earth 1
embraces 1
empower 1
encased 1
enclosure 1
encounter 1
end 1
endless 1
enter 1
enters 1
entomb 1
entropy 1
etc 1
everywhere 1
exprincess 1
face 1
failure 1
fall 1
falls 1
find 1
fire 2
flame 2
flee 1
flies 1
for 1
formerly 1
frivolous 1
from 3
further 1
gellan 1
gilly 1
girls 1
goddess 1
great 1
guardian 1
had 2
halaasa 2
halasaa 1
halfbrother 1
harmony 1
has 5
having 1
he 3
heal 2
healed 1
healer 1
help 1
her 12
herself 1
hid 1
high 2
himself 1
history 1
holds 1
hole 2
home 2
homeland 1
hopes 1
hoping 1
hunt 1
ice 4
in 14
including 2
infirmarian 1
information 1
inside 2
intent 1
interplanetary 1
into 7
intruder 1
investigating 1
invoke 1
is 17
it 7
its 1
journey 1
keela 4
keeps 1
kitchen 2
knot 2
lands 2
larger 1
later 2
learned 1
leaves 1
left 1
legendary 2
lia 3
lightningstruck 1
living 1
longabandoned 1
lost 3
magical 1
manipulate 1
marna 10
may 2
means 1
meeting 1
melt 1
mended 1
mentioned 1
met 1
mica 6
milk 1
millennia 1
minor 1
missing 1
more 1
morning 1
must 1
mysterious 2
need 1
never 1
new 1
night 2
not 2
notice 1
now 2
object 2
occurs 1
of 28
on 6
one 1
ones 3
onto 1
opinion 1
origin 1
originally 1
other 4
others 3
out 1
over 2
overlapped 1
own 1
part 1
party 1
pattern 1
people 6
peoples 2
piece 1
place 2
planet 1
port 1
power 5
powers 2
practiced 1
presumably 2
prevent 1
previous 1
priestess 7
priestesses 5
prisoner 1
proceed 1
proclaimed 1
promoted 1
put 2
quarrel 1
rafters 1
reaching 3
region 1
relays 1
remains 1
rendezvous 1
reprimands 1
rescued 1
restore 2
restores 1
return 1
revealed 5
reveals 2
revered 1
revives 1
right 1
romance 1
sacrifice 1
same 1
samis 5
save 1
seal 1
sealed 2
search 1
secretly 1
see 1
sees 1
sending 1
separate 1
sets 1
she 8
siblinglike 1
sick 1
signs 1
sing 1
singer 1
sings 1
sleeps 1
sneaks 1
snowsick 1
snowsickness 7
so 1
some 1
songs 5
sorcerer 1
space 1
spareth 3
speaking 1
speaks 1
specific 1
spring 1
story 1
strengthening 1
subsequently 1
succeed 1
succeeds 1
suggested 1
surpassing 1
surrounds 1
systems 1
takes 1
taking 1
tamen 6
taris 1
teach 1
tells 1
tenth 2
terminating 1
that 13
the 78
their 5
them 5
themselves 1
then 1
there 1
therefore 1
they 2
this 7
three 4
through 1
time 1
to 30
tonno 1
trains 1
travel 2
travelers 2
traveling 1
travels 1
tree 2
tremaris 4
tries 2
trout 2
trouts 1
true 1
two 2
ultimately 1
underground 1
unite 1
united 1
unknown 1
upon 1
upsets 1
ursca 3
use 1
used 4
uses 3
using 1
veiled 1
visit 1
voiced 3
wall 9
war 2
warns 1
was 2
waters 1
weaker 1
weapon 1
were 1
wheel 2
when 3
where 4
whereafter 1
whereas 1
wherein 1
whereupon 3
which 8
while 3
who 10
will 3
wind 1
winter 2
wiser 1
with 3
women 1
world 3
would 1
written 1
