9050114
/m/027vvv8
/m/027vvv8
Cynthia Voigt
1983
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 12
able 1
about 2
accept 1
after 3
an 1
and 13
any 1
anyone 1
asks 1
at 1
attracts 1
back 2
be 1
beautiful 1
becomes 4
begins 1
behind 1
bond 1
boyfriend 1
build 1
burden 1
but 2
by 1
can 1
care 1
carolina 1
change 1
charleston 1
chest 1
christmas 1
classes 1
comes 1
connects 1
contact 1
convinced 1
convinces 1
crisfield 2
daily 1
day 3
decides 1
dicey 1
different 1
doesnt 3
drugs 1
end 1
even 1
every 1
excuse 1
fail 1
family 1
father 5
feelings 1
feels 1
fight 1
finally 1
find 1
finds 1
first 3
for 5
forced 1
friends 2
from 3
gets 1
good 2
grade 1
greene 1
guitar 1
has 3
have 1
he 11
heartbroken 1
her 5
him 4
himself 3
his 15
home 3
huge 1
ignoring 1
in 5
infection 1
interest 1
is 8
it 2
jeff 13
keep 1
keeps 1
learning 1
learns 1
left 2
letters 1
life 1
light 1
loving 1
make 1
makes 2
man 1
many 1
meets 1
melody 8
month 1
more 1
mother 4
moving 1
much 1
music 1
never 2
not 1
nothing 1
of 3
on 4
one 3
open 1
out 1
play 1
professor 1
put 1
real 1
really 1
receives 1
relationship 1
reserved 1
return 1
routines 1
scarf 1
schoolwork 1
second 3
see 1
sends 1
seriously 1
she 3
sick 1
since 1
so 2
some 1
south 1
spend 1
starts 1
student 1
summer 3
taking 1
than 1
that 1
the 8
though 1
tillermans 1
time 2
to 16
track 1
truth 1
trying 1
until 1
unwell 1
up 1
very 1
visit 3
when 1
who 1
whom 1
with 8
withdrawn 1
withdraws 1
without 1
wonderful 1
writes 2
year 1
years 1
