539702
/m/02n0y9
/m/02n0y9
Thomas Mann
1924
20s 1
a 9
about 1
air 1
alps 1
an 1
and 8
appears 1
are 1
as 1
at 2
atmosphere 1
away 1
battlefield 1
be 1
been 1
before 2
beginning 1
begins 1
behrens 2
bronchial 1
brought 1
by 5
call 1
carducci 1
career 2
castorp 6
central 1
chapter 1
characters 1
chauchat 1
chief 1
child 1
clavdia 1
conclusion 1
cousin 1
cure 1
davos 1
death 1
decade 1
delayed 1
demise 1
departure 1
diagnosed 1
dionysian 1
director 1
doctor 1
during 1
dutch 1
early 2
encounter 1
encyclopedist 1
end 1
europe 1
extended 1
failing 1
familiar 1
family 1
fever 1
first 1
flatlands 1
following 1
for 2
from 3
giosu 1
grandfather 1
hamburg 2
hans 3
has 2
he 3
health 2
high 1
him 1
his 10
hofrat 1
home 1
humanist 1
i 1
improves 1
in 10
include 1
infection 1
interest 1
introduced 1
introspective 1
is 7
james 1
jewturnedjesuit 1
joachim 1
journey 1
just 1
known 1
later 1
learns 2
leo 1
life 1
little 1
lodovico 1
madame 1
meets 1
merchant 1
microcosm 1
military 1
minor 1
morbid 1
mountain 1
mundane 1
mynheer 1
named 1
naphta 1
narrative 1
novel 1
obligations 1
of 10
only 1
opening 1
opens 1
or 1
parents 1
peeperkorn 1
persuaded 1
portended 1
possible 1
prewar 1
probable 1
professional 1
protagonist 1
rarefied 1
remains 1
repeatedly 1
represent 1
romantic 1
sanatorium 5
secular 1
seeking 1
settembrini 1
seven 1
shipbuilding 1
slight 1
stay 2
story 1
student 1
subsequently 1
swiss 1
symbolically 1
symptoms 1
take 1
the 25
these 1
this 1
tienappel 1
to 7
together 1
totalitarian 1
town 1
transported 1
tubercular 1
tuberculosis 1
uncle 1
undertakes 1
until 1
up 3
upon 1
variety 1
visit 1
volunteers 1
war 2
we 2
what 2
when 1
who 3
with 1
world 2
years 1
ziemssen 1
