28925261
/m/0dgrwzj
/m/0dgrwzj
Gail Carriger
2011-06-28
031612711 1
035650008 1
1 2
2010 2
2011 6
22 1
28 1
7 1
a 1
alexia 1
also 1
alternate 1
an 1
and 8
announced 1
any 1
are 1
as 2
author 3
be 2
been 1
beings 1
blameless 1
blending 1
book 1
books 4
by 3
changeless 1
class 1
closely 1
complete 1
cover 4
date 2
dates 1
designed 1
donna 1
draft 1
due 1
editions 2
england 1
entry 1
fantasy 1
february 1
final 1
first 3
for 2
future 1
german 1
has 1
have 1
heartless 3
history 1
in 9
independent 1
interviews 1
is 4
isbn 2
italian 1
july 1
june 1
lady 1
language 1
late 1
lauren 1
linked 1
lists 1
maccon 1
manner 1
manuscript 1
march 1
members 1
model 1
more 1
near 1
no 1
nonenglish 1
novel 2
novels 2
november 1
of 9
official 1
often 1
on 4
orbit 3
original 1
other 1
panepinto 1
paperback 2
photographs 1
pixie 1
powers 1
productions 1
protagonist 1
pub 2
publication 1
publisher 2
released 2
reported 1
revised 1
ricci 2
second 1
september 1
series 4
set 1
society 1
soulless 2
spanish 1
stated 1
steampunk 1
supernatural 1
taken 1
tarabotti 1
that 3
the 25
third 1
this 2
three 2
thus 1
to 2
translated 1
uk 1
unaffected 1
upper 1
urban 1
usa 1
vampires 1
version 2
victorian 1
vision 1
was 3
website 1
welcomed 1
were 2
werewolves 1
where 1
while 2
who 1
will 1
with 2
yet 1
