3211116
/m/08zks1
/m/08zks1
Lloyd Alexander
1964-08
a 32
ability 1
able 1
about 1
accompanies 1
achren 4
adventures 1
after 1
again 2
agrees 3
ahead 2
alive 2
all 4
along 2
also 2
an 5
ancient 1
and 61
animals 1
annuvin 1
another 3
anywhere 1
approach 2
arawn 4
are 6
arm 1
army 4
around 1
as 4
ask 1
asks 4
assistant 2
at 4
attempting 1
aunt 1
avren 1
awakes 1
away 3
back 1
bard 1
barely 2
barrow 1
be 5
because 1
become 1
becomes 1
bed 1
been 2
bees 2
before 4
begins 1
below 1
beside 1
birds 1
birth 2
black 1
blade 1
blow 2
blue 1
both 2
boy 1
breaches 1
break 1
breaks 2
bring 1
build 1
burden 1
burns 1
bursts 1
but 19
by 12
caer 11
cage 1
camp 1
can 4
cannot 1
captives 1
capture 1
captures 1
care 1
carries 1
carry 1
castle 8
catacombs 1
catches 1
cauldronborn 3
cell 2
ceremonial 1
chamber 1
chase 2
chickens 2
choice 1
chooses 1
clambering 1
coll 3
collapse 2
come 1
communicate 1
companion 1
companions 4
conferring 1
consciousness 1
consort 1
consult 1
continue 2
could 1
course 2
cover 1
creatures 1
cross 1
crown 1
dallben 9
darkness 1
dathyl 7
day 2
daydreaming 1
death 3
deathless 2
defeat 1
deliver 1
departure 1
depleted 1
destroy 1
destroyed 1
determines 3
directions 1
discourages 1
discover 1
discovers 1
dissatisfied 1
distance 2
dn 1
do 1
does 4
doli 5
don 2
done 1
draw 1
drawn 1
driven 1
drops 1
dungeon 1
dwarf 1
dyrnwyn 4
easier 1
east 1
eiddileg 2
eilonwy 12
emerge 1
enabled 1
enchanter 1
enchantment 2
encounter 3
enslaved 1
equipment 1
escapes 4
evident 2
exit 1
expectations 1
explains 1
exposing 1
expresses 1
eyes 1
fact 1
fair 4
fall 1
falls 2
far 2
farm 3
farmer 1
fatigue 1
feels 1
fell 1
fever 1
fflam 1
fflewddur 3
fflewdur 2
fight 1
finally 2
find 3
finds 1
first 1
fit 1
flame 2
fledgling 3
flee 2
flees 3
flight 1
folk 4
follow 1
following 1
follows 1
food 2
foot 2
footsoldiers 1
for 8
forbidden 1
forbids 1
forest 2
fortunately 1
four 1
free 1
friendship 1
from 13
fulfill 1
fury 1
gallop 1
geography 2
gets 1
given 2
gives 3
glancing 1
go 1
goal 1
golden 1
good 1
gratitude 1
great 3
ground 2
grudgingly 1
gruffly 1
guardians 1
guards 2
guide 2
gurgi 11
gwydion 12
gwythaint 3
had 3
hairy 1
harp 1
has 9
haunted 1
have 5
having 1
he 28
heals 1
hears 1
hearts 1
hen 10
her 10
hero 1
heroes 1
hidden 1
high 2
hill 1
him 14
himself 4
his 17
home 3
homeless 2
hope 2
horned 10
horse 3
