19085924
/m/04jms2j
/m/04jms2j
Gary Brandner

{"/m/03npn": "Horror"}
a 13
about 1
abruptly 1
after 2
again 1
agonizing 1
allowing 1
although 1
and 13
as 5
at 2
audrey 2
away 1
beatty 1
become 1
becomes 1
been 1
before 1
begins 1
being 1
bit 1
black 1
both 1
break 1
bullet 2
burns 1
but 3
by 3
cabin 4
californian 1
can 1
cause 1
change 1
chris 5
close 1
come 1
comes 1
content 1
convinced 1
creature 3
creatures 1
culminate 1
david 1
death 1
did 2
does 1
down 4
drago 6
drops 1
due 1
during 1
end 1
escape 1
events 1
eventually 1
everything 1
evil 2
exhusband 1
expected 1
family 3
fearing 1
fears 1
fights 1
finally 1
fire 2
first 3
flames 1
for 5
form 1
founded 1
friend 1
friendship 1
from 1
full 2
fully 1
girlfriend 1
goes 1
grotesque 1
had 1
hair 1
halfwolf 1
halfwomanhalfwolf 1
halloran 1
has 2
haunted 1
have 2
head 1
help 3
helped 1
her 19
him 2
his 2
holding 1
hoping 1
horrific 1
hostage 1
hot 1
housekeeper 1
however 2
howling 1
husband 1
in 11
incapacitated 1
indeed 1
inhabitants 1
into 2
is 8
it 1
its 1
jealous 1
joey 1
karyn 14
kill 3
killing 1
knife 1
lead 1
leaves 1
left 1
life 1
lives 2
loved 1
lura 1
manages 1
marcia 7
memories 1
mexico 2
moon 2
more 1
mountain 1
mountainside 2
nearby 1
needs 1
new 3
none 1
not 1
novel 1
now 4
occurrences 1
of 13
once 1
ones 1
or 1
ordeal 2
other 1
out 1
outside 1
partially 1
pliers 2
prior 1
problems 1
red 1
regularly 1
relationship 1
remarried 1
rendered 1
rescue 1
reunited 1
revenge 1
richter 1
rises 1
roy 5
scarred 1
seattle 1
sees 1
set 2
she 9
shot 1
silver 3
sinister 1
spate 1
stepson 1
still 1
streak 1
survived 1
surviving 1
takes 1
tells 1
terrifying 1
than 1
that 3
the 27
their 1
then 1
therapist 1
they 1
though 1
three 1
through 2
to 12
torture 1
town 1
track 1
tracked 2
tracks 1
transform 1
trap 1
unable 1
undermine 1
up 1
using 1
village 1
wants 1
well 1
were 1
werewolf 4
werewolves 2
what 1
when 2
which 1
while 1
who 3
will 1
with 9
wolf 1
work 1
years 1
young 1
