6309812
/m/0g0gg4
/m/0g0gg4
Darren Shan
2007-10-01
{"/m/01hmnh": "Fantasy", "/m/03npn": "Horror"}
1600 2
a 7
about 1
after 1
again 1
ago 1
all 2
along 1
also 1
and 23
any 1
appears 2
around 1
arriving 1
as 1
at 3
awakes 1
back 1
battle 1
be 4
beast 1
bec 6
because 2
been 5
before 2
believed 1
beranabus 10
between 1
bille 4
blood 1
body 2
book 1
brought 1
by 3
carcery 1
care 1
carried 1
cave 3
changes 1
chaos 1
chickens 1
creature 2
demon 3
demonata 2
demons 2
dervish 3
destroy 1
did 1
dire 1
disciples 2
discover 1
during 1
earth 2
ending 1
enlisting 1
enough 1
essence 1
extinction 1
eyes 1
facetoface 1
familiars 2
fight 1
fills 1
fly 1
follow 1
following 1
for 2
forced 1
forces 1
friend 1
from 5
gets 1
gouged 1
group 1
grubbs 13
had 2
has 5
he 1
heads 1
hell 1
help 1
her 1
hers 1
higher 1
him 1
his 5
home 1
homeless 1
hunting 1
in 6
inside 1
is 7
it 4
joins 1
jump 1
juni 1
just 3
kahgash 2
kernel 8
kill 2
killed 2
knowing 1
known 1
last 1
learn 1
leaves 1
left 1
like 2
loch 1
lord 3
loss 3
magician 1
man 1
mankind 1
more 2
must 1
nephew 1
never 1
not 2
now 1
of 9
off 1
on 2
once 2
one 3
open 1
opened 2
opening 2
out 3
painlessly 1
part 1
past 1
picking 1
plane 2
point 1
powerful 2
prevent 3
previous 1
providing 1
quest 1
ranked 1
remove 2
reseal 1
resemble 1
retreat 1
return 1
revealed 3
sacrificed 1
same 1
sealed 1
sealing 1
seals 1
seems 1
seen 1
sees 1
set 1
seven 1
shadow 1
shadowy 1
she 1
since 1
situation 1
spine 1
spirit 2
stake 1
stuck 1
swan 1
take 1
tells 1
that 6
the 33
their 1
them 1
there 1
they 1
this 1
time 3
to 16
trapped 2
tunnel 8
tunnels 1
turns 1
two 1
unable 1
universes 1
unlike 1
unwittingly 1
up 1
vale 1
was 1
way 1
weapon 1
weeks 1
what 1
when 1
where 1
who 2
will 2
with 3
within 1
worlds 1
years 2
