3762499
/m/09zncj
/m/09zncj
Ruth Rendell
2005-10-20
a 3
and 2
as 1
attack 1
because 1
bridge 1
case 1
child 1
concrete 1
dark 1
daughter 1
dies 1
difficult 1
dimensions 1
finds 1
from 2
he 1
him 1
himself 1
his 3
however 1
inspector 1
into 1
is 1
killer 1
local 1
losing 1
lump 1
makes 1
meanwhile 1
methods 1
mistake 1
motorist 1
new 1
night 1
of 3
oldfashioned 1
on 1
one 1
passing 1
policing 1
ponder 1
possibility 1
press 1
rectifies 1
relationship 1
shares 1
soon 1
sylvia 1
takes 1
terrible 1
the 6
thrown 1
traffic 1
under 1
wexford 1
when 1
with 1
wrong 1
