12599509
/m/02wxbp3
/m/02wxbp3
Elizabeth Haydon
2000
a 15
achmed 9
adopted 1
adorned 1
after 4
again 1
against 1
ago 2
agrees 1
all 1
also 1
among 1
an 3
and 20
another 2
appearance 1
are 2
arguments 1
arrival 1
arrives 1
as 2
ashe 12
at 1
attack 3
attacks 1
attempt 1
attempting 1
avert 1
awakening 1
back 1
battle 2
be 3
bearer 1
become 1
before 1
believed 1
bid 1
blade 1
blood 2
bringing 1
builder 1
but 3
by 6
calls 1
can 3
carefully 1
causing 1
cave 1
centuries 2
child 3
children 1
clarion 2
claw 2
clutching 1
colony 2
comfort 1
complicated 1
conceived 1
concocted 1
confronted 1
control 1
corrupted 1
course 1
crafted 1
create 1
days 2
daystar 2
dead 1
death 1
decades 1
defends 1
degree 1
deliver 1
demon 1
demonicallyinfluenced 1
demontainted 1
departing 1
destroy 1
destroyed 1
develop 1
dhracian 4
discover 1
discussion 1
dragon 5
dream 1
earth 3
elemental 1
emily 1
end 2
engulfed 1
enough 1
expecting 1
explains 1
failed 1
father 1
fdor 5
fear 1
figuring 1
finally 1
finds 1
following 1
for 6
forcing 1
forest 1
forewarned 1
forget 1
former 1
founded 1
friendly 1
from 2
gain 1
get 2
grandmother 3
grunthor 5
gruthor 1
gwydion 2
had 3
half 2
halls 1
has 1
have 1
havoc 1
he 3
help 1
her 10
heritage 1
herself 1
hidden 2
hilt 1
his 6
home 3
horrific 1
however 1
human 1
imprisoning 1
in 14
inhabitants 1
instructs 1
into 1
investigate 1
is 3
it 3
jealousy 1
jo 3
journey 1
journeys 1
keep 1
key 2
kill 1
kills 1
land 1
last 1
later 1
lead 1
leader 1
leading 1
learn 1
leaving 1
lirin 1
lived 1
llauron 2
locks 1
long 2
loritorium 2
lost 1
loved 1
lovers 1
major 1
manages 1
married 1
masterpiece 1
meanwhile 1
meet 2
memory 1
millennia 1
minion 1
most 1
mountains 1
murdered 1
nearlegendary 1
nearly 1
night 2
nightmares 1
no 1
of 33
on 2
once 2
one 5
only 1
open 1
out 3
owes 1
part 1
partially 1
past 1
patriarch 3
pearl 1
piece 2
plot 1
position 1
power 2
pretending 1
process 3
prophetic 1
protect 1
punctuated 1
race 1
rakshas 6
realizations 1
realize 1
reclaim 1
religions 1
rescue 1
resolves 1
respectively 1
restless 1
resurrected 1
return 1
revelations 1
rhapsody 19
rib 1
rocked 1
root 1
saboteur 1
said 1
sam 1
same 1
save 2
second 1
secrecy 1
secret 1
secretly 1
sees 1
seize 1
selfish 1
sepulvarta 1
sets 1
several 1
sex 1
she 6
shows 1
side 1
sister 1
sleep 1
sleeping 1
so 2
some 1
song 1
soon 1
soul 4
star 1
stays 1
stolen 1
subsequently 1
succeed 1
successfully 1
summons 1
surprise 2
surprisingly 1
tells 1
that 7
the 67
their 3
them 2
then 3
thereby 1
they 4
thing 1
this 1
those 1
threat 1
to 31
torn 1
train 1
training 1
travels 3
treasure 1
treasures 1
tree 1
trick 1
tunnel 1
two 1
tyrian 1
unable 1
under 1
underground 1
underworld 2
unfinished 1
upon 2
use 1
used 2
uses 1
vault 1
vengeance 1
vine 1
vision 1
wandered 1
was 3
where 1
which 3
while 1
who 5
whose 1
will 1
with 10
world 1
would 1
wreaked 1
wreaking 1
ylorc 6
