1028616
/m/03_mv1
/m/03_mv1
Ernest Hemingway
1927
110s 1
a 5
about 2
adams 1
al 2
all 1
and 8
anderson 7
anything 1
are 1
as 1
available 1
back 1
be 1
bed 1
bell 1
black 1
boarding 1
boxer 1
by 2
called 1
can 1
character 1
chicago 1
clothes 1
concerned 1
conversation 1
cook 1
decides 1
do 1
does 1
done 1
during 1
eggs 1
except 1
finds 1
for 2
friend 1
george 5
goes 2
happened 1
has 1
have 2
he 1
hemingway 1
henry 1
hirsch 1
his 2
hit 1
house 1
in 3
informs 1
into 2
is 3
kill 1
kitchen 1
leave 2
leaves 1
longer 1
lunchroom 2
lying 1
max 2
men 4
menu 1
mrs 1
never 1
nick 6
no 1
not 3
nothing 1
of 2
off 1
ole 2
on 1
order 1
place 1
pork 1
react 1
reaction 1
recurring 1
reveals 1
run 2
sam 1
seems 1
sends 1
settle 1
shows 1
so 1
something 1
soon 1
stories 1
story 1
suburb 1
summit 1
swedish 1
takes 1
tell 1
tells 1
that 3
the 9
there 2
ties 1
to 8
town 1
two 4
up 1
walk 1
warn 1
what 1
when 1
which 2
with 1
