335060
/m/01xcnw
/m/01xcnw
Friedrich Dürrenmatt


110 1
a 23
abandon 1
about 3
above 1
accept 1
acceptance 1
accepted 1
accompanied 2
acknowledges 1
across 1
actually 2
admits 2
advises 1
after 4
again 1
against 1
agrees 1
alfred 2
all 2
along 1
already 1
also 1
among 1
an 5
and 51
announce 1
announces 2
anyway 1
apostle 1
appeals 1
are 10
arrival 3
arrived 1
arrives 1
artificial 1
as 8
ask 1
asks 2
assuring 1
at 6
attack 1
attempts 1
attention 1
auditorium 2
australia 1
away 1
back 1
band 1
barn 1
be 3
became 1
becomes 1
been 4
before 1
begins 2
begs 1
believing 1
bells 1
billion 1
billionairess 1
black 2
blind 1
board 1
boards 1
body 2
both 2
bought 1
brakes 1
brought 2
businesses 1
but 9
butler 3
buy 1
by 4
caged 1
calm 1
calmly 1
can 1
capri 1
car 1
cathedral 1
causing 1
celebration 1
certain 1
cheers 1
cheque 1
chief 1
child 1
church 1
citizens 1
claire 23
clear 1
cleared 1
coffin 3
collapses 1
comes 2
concerns 1
condition 1
conditional 1
confident 1
confronted 1
confusion 1
considerable 2
continues 1
convincing 1
corpse 1
court 1
credit 2
crosses 1
crowd 1
cruel 1
crying 1
currency 1
dampened 1
daughter 1
day 1
debt 1
decides 1
declare 1
delightful 1
descends 1
desire 1
died 3
dimmed 1
discussion 1
dismiss 1
disrepair 1
divorced 1
do 1
doctor 3
donation 4
doors 1
down 1
draws 1
drive 1
drunk 1
earlier 1
easier 1
economic 1
effort 1
emergency 1
end 1
enjoy 1
enter 1
entire 1
escape 1
especially 1
eunuchs 2
evening 1
ever 1
everyone 2
everywhere 1
examines 1
exchange 1
expensive 3
explain 1
explains 1
fact 1
fall 1
false 1
famed 1
families 1
family 1
fantastic 1
fault 1
favor 1
fear 1
fearful 1
feels 1
feet 1
finally 1
find 1
finds 1
fleeclaire 1
flirtatious 1
flooded 1
for 10
formality 1
forward 1
found 1
from 2
funds 1
funeral 1
future 1
gather 1
gathered 2
gathers 1
general 3
generally 1
get 1
gives 2
gllen 6
go 4
goes 1
going 2
golden 1
goodness 1
grand 1
grotesque 1
growing 1
grown 1
grows 1
guilt 1
gymnasts 1
had 4
half 2
hamburg 1
hand 1
happiness 1
hardship 1
has 13
haunts 1
have 7
having 3
he 16
heading 1
heads 1
hear 1
heard 1
heart 2
help 1
henchmen 1
her 18
him 8
himself 1
his 12
homecoming 1
honest 1
hope 1
horrified 1
hotel 1
however 1
hubbub 1
humanity 1
husband 4
ill 37
im 1
imminent 1
in 26
increasingly 2
inform 1
inhabitants 1
insisting 1
into 3
is 18
items 2
its 1
join 1
joins 1
joy 1
judging 1
judgment 1
just 3
justice 1
killed 3
killing 2
konrad 2
leave 1
leaves 2
leg 1
lights 1
literally 1
locked 1
lord 1
lost 1
love 1
lover 3
loving 1
luggage 1
make 4
man 2
manure 1
married 1
marry 1
matilda 2
mausoleum 1
mayor 8
means 1
meantime 1
mediterranean 1
meeting 3
memory 1
met 1
monstrous 1
more 2
most 1
move 1
moved 1
movie 1
muchneeded 1
murderers 1
must 1
native 1
nervous 1
never 1
new 6
newest 1
newfound 1
newly 1
news 2
nonetheless 1
not 1
nothing 1
notice 1
now 1
of 25
off 1
old 1
ominously 1
on 8
once 1
one 2
opens 1
opportunity 1
order 1
out 3
outfits 1
outside 1
over 1
overjoyed 1
overlooks 1
overseen 1
overweight 1
owned 1
owner 1
owns 1
pacing 1
panther 2
paralyzed 1
passes 2
past 1
paternity 1
perform 1
petersen 1
pieces 1
planning 1
plans 2
played 1
plays 1
point 1
policeman 1
popular 1
poverty 2
prepare 1
preparing 1
press 3
pretends 1
priest 3
privately 1
process 1
produced 1
products 1
proliferation 1
promptly 1
properties 1
proposal 1
prosthetic 1
prostitute 1
provide 1
publicly 1
pulled 1
purchased 1
purchasing 1
quiet 1
railway 3
ranks 1
rather 1
reappears 1
reason 1
received 1
receives 1
refreshments 1
refuses 2
reminisce 1
reporter 1
reporters 3
residents 1
rest 1
reveal 1
reveals 1
revelation 1
revisit 1
ride 1
ring 1
room 2
ruled 1
run 1
says 3
schoolmaster 7
scoop 1
see 1
seems 1
sense 1
settling 1
shared 1
she 15
shoes 1
shoot 1
should 1
shut 1
significantly 1
since 2
sixties 1
small 1
so 2
some 1
someone 2
something 1
son 1
song 1
speak 1
speech 1
stagnation 1
stairs 1
state 1
states 3
station 3
status 1
steps 2
stop 2
stopped 1
store 4
story 1
strangely 1
suffering 2
suggests 1
suit 2
support 1
surprise 1
surprised 1
take 1
takes 1
task 1
tells 2
terror 1
thank 1
that 34
the 112
theater 1
their 4
them 2
then 6
there 1
they 13
things 1
this 1
though 1
through 3
time 3
to 37
town 19
townsman 1
townsmen 1
townspeople 4
train 3
transformed 1
tries 1
turn 1
two 3
ultimately 1
unanimous 1
units 1
unspecified 1
until 1
up 1
ushered 1
various 1
vengeance 1
village 2
visit 1
visits 2
vote 1
wait 1
walk 1
walking 1
was 3
weak 1
wealth 1
wearing 1
wedding 1
weds 1
well 1
went 1
were 1
when 5
where 1
whether 1
which 3
who 7
whom 1
wife 1
will 7
wish 1
with 10
witnesses 1
wood 2
woods 2
word 1
year 1
yellow 1
young 1
zachanassian 1
