1363276
/m/04wv56
/m/04wv56
Mervyn Peake
1950
a 25
abandoned 1
about 1
absentminded 1
accident 1
advance 1
after 1
again 1
against 2
almost 2
already 1
also 2
although 3
ambiguity 1
among 1
an 5
and 43
appears 1
are 8
areas 1
around 1
as 5
ascends 1
asleep 1
at 7
aunts 2
authority 1
aware 2
away 1
balance 1
barquentine 2
be 3
becomes 4
been 1
begin 1
begins 1
behaves 1
being 3
bellgrove 5
betrayal 1
bicker 1
blame 1
body 1
both 3
brief 1
briefly 2
bright 1
bring 1
bunch 1
burns 1
but 3
by 8
campaign 1
can 1
captive 1
capture 2
carvers 2
castle 11
catapult 1
certain 1
changes 1
child 1
clarice 2
class 1
clear 2
collection 1
compete 1
confines 1
contemplates 1
convinced 1
cora 2
countess 2
courage 1
cries 1
cunning 1
dangerous 1
daughter 1
death 1
deaths 1
decides 1
deep 1
delirious 1
delirium 1
dependent 1
despite 2
development 2
died 1
dignity 1
disagree 1
disappearances 1
discusses 1
disfigured 1
disturbed 2
doctor 3
does 1
down 1
dr 2
dramatically 1
drink 1
drowning 2
due 3
during 1
dwellers 1
each 2
effectively 1
element 1
encounters 1
end 2
endless 1
ends 1
entire 1
entranced 1
epic 1
escapes 1
especially 1
evades 1
even 2
eventually 4
ever 1
exactly 1
exiled 1
explicitly 1
explore 1
extensive 2
faints 1
falls 2
fatally 1
father 2
faults 1
fear 1
feral 2
fierce 1
figure 2
find 1
fire 1
first 1
five 1
flay 1
flees 2
flood 2
flooding 1
floodwaters 1
floors 1
food 1
fools 1
for 2
forced 3
forces 1
forests 1
fortune 1
foster 1
from 3
fuchsia 1
full 2
garden 1
gentlemanly 1
gertrude 2
get 1
girl 1
gives 1
gormenghast 6
grace 1
greatly 1
grown 1
guerilla 1
hailed 1
happenings 1
has 5
hatred 1
have 1
having 1
he 18
head 1
headmaster 2
hear 1
heart 1
her 9
hero 1
hide 1
hiding 1
higher 2
him 7
himself 1
his 15
holding 1
holds 1
home 1
hope 1
however 3
humility 1
humorous 1
idiosyncrasies 1
if 1
illegitimate 1
important 3
impossible 1
in 22
increasingly 2
independence 1
inhabitants 1
injured 1
inside 1
inspires 1
intent 1
interlude 1
into 2
invites 1
irma 4
is 25
it 3
its 2
ivy 1
justice 1
keda 1
keep 1
killed 1
killing 1
kills 2
kindly 1
kingdom 1
knowledge 1
known 1
ladies 1
lands 1
last 1
late 1
later 1
least 1
leave 1
leaving 1
left 1
level 1
lies 1
life 2
lightning 1
lives 1
made 1
make 3
manhunt 1
many 1
marbles 1
married 1
master 1
mean 1
meaning 1
meant 1
meet 1
meeting 3
meets 1
melancholic 1
mind 2
misfits 1
moment 1
morbid 1
mud 1
murder 1
murderer 2
naked 1
never 2
nevertheless 1
nobility 1
not 2
novel 2
now 1
number 1
occasion 1
occurs 1
of 37
old 2
on 3
one 2
only 2
ordeal 1
other 2
out 2
outside 2
over 3
overgrown 1
overheard 1
own 3
part 2
partner 1
party 1
people 1
petty 1
plays 1
position 1
power 2
process 1
professor 2
professors 2
prolonged 1
prospect 1
prunesquallor 3
pursues 1
put 1
rage 1
rains 1
random 1
rapidly 1
rather 1
reader 1
realises 1
reality 1
recently 1
recovered 1
recovering 1
recovery 2
reference 2
refuge 1
regions 1
remote 1
renegade 1
replace 1
resolve 1
resolved 1
respects 1
retreat 1
revived 1
riding 1
rises 1
rising 1
ritual 1
rivalries 1
role 1
romance 1
ruthlessness 1
school 3
schoolboys 1
seek 1
seeks 1
seems 1
seen 1
servant 1
sets 1
severe 1
severely 1
she 3
shrieking 1
sister 2
sisters 1
slips 1
smaller 1
so 5
some 1
something 1
speak 1
spent 1
stage 1
standard 1
starvation 1
state 1
steerpike 18
striking 1
struck 1
struggle 1
submerged 1
successful 1
such 1
suffering 1
suicide 1
suitable 1
supply 1
surrounded 1
suspicious 1
take 1
teachers 2
terrified 1
that 7
the 62
their 1
them 3
themselves 2
there 1
they 5
thing 2
thirst 1
this 6
thoroughly 1
through 1
throws 1
thus 1
time 1
titus 14
to 34
told 1
traitor 1
twin 1
twins 2
ultimate 1
unable 1
unaware 1
unknown 1
unlike 1
unmasked 1
until 1
unusual 1
up 2
using 1
utterly 1
various 2
vast 1
vigilance 1
waging 1
wakes 1
wall 1
walls 1
waters 1
way 2
ways 1
weak 1
welcome 1
wetnurse 1
what 1
when 4
where 1
who 6
wider 1
wield 1
wild 1
will 1
window 1
with 9
withdrawn 1
within 2
woman 1
words 3
world 2
