5738184
/m/0f2223
/m/0f2223
Dave Duncan
1992-09-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
3000 1
a 14
about 2
acopulo 1
actions 1
administrative 1
after 2
afterwards 1
all 2
allowed 1
amid 1
and 24
appears 1
approaching 1
are 3
arrive 1
arrived 1
arrives 1
as 4
at 4
attacked 1
avoid 1
aware 1
away 2
back 1
banner 1
battling 1
be 4
beat 1
being 1
born 1
breaking 1
but 1
by 2
caliph 1
can 1
capital 1
care 1
catches 1
ceremony 1
charge 1
child 1
children 1
circle 1
cloaked 1
college 5
coma 1
coming 1
company 1
completes 1
continues 1
control 1
conventionally 1
coronation 1
council 1
crown 1
daffodils 1
death 1
decide 1
decrees 1
defeat 1
deranged 1
despondent 1
destroyed 1
determine 1
detour 1
dies 1
discussion 1
do 2
doctors 1
down 1
dr 1
dragons 1
drooling 1
during 1
each 1
earns 1
elves 1
eshiala 1
evil 1
fall 1
falling 1
falls 1
far 1
faun 1
few 1
finally 1
find 3
first 1
follow 1
foot 2
for 4
former 1
four 1
friend 1
from 5
gains 1
gifted 1
go 1
gods 1
going 2
group 3
guides 1
hall 1
has 2
have 1
he 4
head 1
her 9
himself 1
his 4
home 1
hopes 1
house 4
how 2
however 1
hub 4
husk 1
immediately 2
imperial 1
imperor 4
impire 1
in 8
informs 1
inner 1
instead 1
interest 1
into 1
is 8
it 2
jain 1
just 3
keeper 1
king 1
knowing 1
krasnegar 1
leb 1
left 1
legion 1
life 1
lose 1
love 1
lovely 1
made 1
magic 3
man 1
may 1
meet 2
meets 3
message 1
millennium 1
moor 1
most 1
mysterious 1
naked 1
need 1
nefer 1
neighbor 1
new 1
next 1
normal 1
not 1
nothing 1
of 12
on 3
one 1
or 1
out 4
over 4
own 1
pandemia 1
parents 1
past 1
people 1
person 1
pixie 2
place 2
plans 2
pool 3
power 1
practice 1
preflecting 1
preparations 1
princess 1
procession 1
protocol 1
putting 1
puzzle 1
qoble 1
race 1
rap 3
raspnex 3
receives 2
retreats 1
right 1
rules 1
safety 1
sagorns 1
saves 1
saw 1
seen 1
seizes 1
self 1
sets 1
shandie 6
she 2
short 1
shows 3
signifier 1
sir 1
sorcerer 1
sorcerers 1
speak 2
spirit 1
stands 1
suffering 1
summoned 1
take 2
takes 1
taking 1
talk 1
tells 3
thale 5
that 6
the 43
their 2
them 3
there 1
they 6
this 2
thousand 1
thrones 1
thume 1
to 25
traveling 1
try 1
turns 2
up 2
upcoming 2
used 1
uses 1
vision 3
visit 1
visits 1
war 2
warlock 1
warlocks 1
warning 1
was 1
watch 1
way 1
what 3
when 2
while 1
whisk 1
who 1
will 2
with 5
wold 1
woman 1
women 1
wont 1
word 1
world 1
year 2
years 1
ylo 2
ylos 1
you 3
your 2
zark 1
zinixo 1
