10473325
/m/02qf56f
/m/02qf56f
Paul Stewart
2003
{"/m/02xlf": "Fiction"}
a 5
advantage 1
all 1
and 3
as 1
attend 1
baron 2
been 2
behalf 1
boy 1
by 2
cannot 1
contracted 1
cuddles 1
demanding 1
doctor 1
earth 3
even 1
evil 2
exhorted 1
fight 1
from 1
full 1
has 3
he 2
heed 1
his 2
horned 2
however 1
in 3
ingrid 1
is 3
joe 1
mayhem 1
monsters 1
more 1
muddle 2
must 1
novel 1
of 4
on 1
ordinary 1
other 1
pays 1
problems 1
randalf 3
ruler 1
sections 1
summoned 1
that 2
the 6
then 1
this 1
three 1
to 4
trait 1
turn 1
uses 1
very 1
villain 1
warriorhero 1
who 1
wife 1
wizard 1
woman 1
words 1
world 1
