585619
/m/02sn19
/m/02sn19
Sidney Sheldon
1987
a 8
about 1
accepts 1
accident 1
accomplished 1
against 1
also 1
ambassador 2
ambassadorship 1
an 3
and 5
ashley 4
assassin 1
at 1
be 1
beautiful 1
because 1
become 1
been 1
behind 1
by 2
change 1
confrontation 1
conspiring 1
country 2
course 1
curtain 2
death 1
dies 1
doctor 1
does 1
dr 1
dramatically 1
eastwest 1
edge 1
edward 1
ellison 1
espionage 1
events 1
everyone 1
feels 1
fill 1
find 1
finds 1
for 3
foreign 1
from 1
glinting 1
good 1
harder 1
has 2
her 4
him 1
his 1
husband 2
if 1
in 3
into 1
iron 2
is 6
it 1
kansas 2
kidnapping 1
leave 1
life 1
lives 1
marked 1
mary 2
medical 1
most 1
mysterious 1
new 1
nightmare 1
not 2
of 3
offer 2
offered 1
on 1
order 1
paul 1
plunged 1
practice 1
president 2
professor 1
proficient 1
rejects 1
romania 1
scholar 1
sent 1
separated 1
she 7
small 1
state 1
suddenly 2
suspicious 1
terror 1
than 1
that 2
the 9
to 8
town 1
traffic 1
university 1
us 2
void 1
want 1
when 1
where 1
who 2
willing 1
woman 1
world 2
