18304980
/m/04ct09d
/m/04ct09d
Gordon Korman
1980
2 1
3100 1
43 1
48 1
a 14
about 1
across 1
actually 1
after 1
agents 1
all 8
almost 1
along 2
also 1
an 1
and 15
annoying 1
appearing 1
are 4
around 2
arrest 1
arrived 1
as 1
at 4
attempt 1
back 2
barricade 1
be 5
been 4
before 1
being 3
believe 1
blasts 1
body 1
boots 3
both 2
boys 2
breaking 1
broadcast 2
broadcasting 1
broadcasts 1
bruno 7
budget 1
budgetary 1
building 1
buried 1
burton 1
bus 1
but 5
by 3
cafeteria 1
camera 1
can 3
cans 5
capture 1
catches 1
cathy 1
caught 1
caused 1
chagrin 1
channel 1
chemicals 1
chutney 2
claim 1
climax 1
closes 1
collect 1
collecting 1
collection 1
come 2
comes 2
coming 2
commercial 1
complaining 1
considering 1
conspiracy 2
conspirator 1
culprits 1
deal 1
decide 1
device 2
diagram 1
dispute 1
does 1
dorm 1
dormitory 3
drimsdale 2
due 3
during 2
each 1
elmer 5
end 1
enroll 1
enrollment 1
entire 1
equipment 1
everyone 1
everything 1
evil 2
expects 1
explosion 1
exposed 1
exposure 1
fictitious 1
field 1
figure 1
finishing 2
first 1
fish 7
food 1
for 4
forced 1
form 1
frequency 1
friends 1
from 13
frustrations 1
further 1
gain 1
get 1
gets 2
girls 2
given 1
go 2
had 4
hadnt 1
hall 6
has 1
have 2
having 1
he 3
head 1
headmaster 1
her 1
herself 1
highway 1
him 4
his 3
hitching 1
hopeful 1
hotel 1
idea 1
ideas 1
impression 1
in 9
informs 1
interruption 1
into 1
investigating 1
investigation 1
is 6
it 5
its 2
junk 1
just 1
kilometres 1
king 1
known 1
labeled 1
ladies 2
largest 2
leads 1
leaves 1
lens 1
like 1
located 1
lowering 1
macdonald 5
machine 1
meanwhile 1
measures 1
menus 1
message 1
microphone 1
miles 1
mimics 1
money 2
more 1
morning 1
most 1
mr 2
ms 5
narrating 1
nearby 1
never 1
new 1
next 2
nickname 2
night 1
nights 1
not 1
novel 1
of 17
on 5
one 2
ontario 1
opp 1
or 1
order 1
organization 2
other 3
out 2
overpower 1
pacific 1
people 1
plans 1
pointed 1
police 2
pop 1
powerful 1
press 1
pretending 1
problem 1
problems 2
process 1
property 3
publicity 3
pyramid 2
r 1
radius 1
range 1
rcmp 1
reacting 1
record 3
removed 1
removing 1
reveals 1
ride 1
right 2
room 1
rooms 1
salmon 1
saved 1
school 8
schools 1
scrimmage 7
seeing 1
separate 1
seven 1
severe 2
she 1
shotgun 1
soda 1
solve 1
solving 1
some 1
soon 1
south 1
stated 1
stay 1
still 1
stored 2
student 1
students 3
sturgeon 5
surname 1
system 1
taking 1
television 1
televisions 1
tell 1
tells 1
temperatures 1
than 1
that 11
the 68
their 3
them 2
they 5
think 1
third 1
this 3
three 1
through 1
throughout 1
thus 1
tin 2
to 27
toronto 1
town 2
townships 1
trace 1
trespassing 1
trip 1
try 1
trying 1
two 2
under 1
undercover 1
unknown 1
unwittingly 1
up 3
upon 1
uses 1
vacant 1
villages 1
was 2
way 1
weekend 1
when 2
who 3
whod 1
whole 1
whom 1
will 1
william 1
wins 1
with 7
within 1
wonder 1
wont 1
world 2
year 1
young 2
