4279484
/m/0btvnr
/m/0btvnr
Klaus Mann
1936
{"/m/02xlf": "Fiction", "/m/016lj8": "Roman \u00e0 clef"}
126 1
136 1
a 6
about 1
actor 1
actually 1
always 1
and 4
angelika 1
are 1
artists 1
because 1
berlin 2
black 1
blacklist 1
but 1
camp 1
career 1
coactress 1
communist 1
concentration 1
concerned 1
convince 1
denouncing 1
even 1
evil 1
fame 1
faust 1
flees 1
former 1
friend 1
friends 1
from 3
general 2
girlfriend 1
hamburg 2
hamburger 1
hardships 1
has 1
have 1
he 5
help 1
hendrik 1
her 1
hfgen 3
him 1
his 6
humane 1
ie 1
in 3
initially 1
is 2
knstlertheater 1
later 1
learning 1
lindenthal 1
lose 1
lost 1
lotte 2
luftwaffe 1
made 1
manages 1
mephisto 1
minister 1
mistress 1
nationwide 1
nazi 1
nazis 1
nazism 1
news 1
not 1
novel 1
obtaining 1
of 4
on 4
one 1
or 1
over 1
pact 1
pardoned 1
paris 1
part 1
past 1
patrons 1
portrays 1
power 1
prime 1
quickly 1
realizes 1
receiving 1
returning 1
rise 2
role 1
siebert 1
situations 1
support 1
tells 1
that 2
the 6
theater 1
there 1
to 10
travels 1
tries 1
values 1
venus 1
von 1
where 1
wife 1
win 1
with 2
wonderful 1
