21125507
/m/05c0f50
/m/05c0f50
Rudy Rucker

{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
a 3
actual 1
alltooreal 1
and 3
answers 1
antland 1
ants 1
battle 1
been 1
both 1
clear 1
computer 1
confronts 1
create 1
crime 1
crumbles 1
cyberconspiracy 1
death 1
deep 1
electronic 1
facing 1
fall 1
figure 1
find 1
fnoor 1
for 3
freedom 1
giant 1
goes 1
he 2
his 4
in 3
intelligent 1
into 1
invade 1
is 3
itself 1
jerzy 1
life 1
man 1
name 1
needs 1
net 1
of 3
office 1
online 1
or 1
order 1
out 1
perils 1
plunging 1
robots 2
rugby 4
sabotaging 1
set 1
some 1
something 1
system 1
take 1
testing 1
the 6
then 1
to 5
toils 1
truly 1
trying 1
up 1
virtual 2
virus 1
wanted 1
what 1
while 1
who 1
worlds 1
wrong 1
zillions 1
