10737082
/m/02qnpj7
/m/02qnpj7
Roberto Arlt

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 15
about 1
accepted 1
accepts 1
act 1
action 1
activities 1
acts 1
adolescents 1
adventure 2
affirm 1
after 3
all 2
almost 1
an 2
and 19
antisocial 1
apprentice 1
apprenticeship 1
are 3
argentinean 1
arlt 1
arrested 1
as 5
asks 1
astier 1
at 6
attempt 1
attend 1
aviation 1
band 1
because 1
become 2
becomes 1
betray 1
betrays 2
between 1
bitterly 1
book 3
bookstore 2
boss 1
brilliance 1
brutes 1
burn 1
but 6
buys 1
by 2
caretaker 1
cars 1
cases 1
certain 1
character 1
characters 3
cleanly 1
closes 1
club 3
commit 1
commits 1
communicates 1
complicates 1
constructed 1
conversation 1
count 1
country 1
dark 1
days 1
de 1
dedicated 1
deplorable 1
desire 1
detective 1
develops 1
directors 1
do 1
does 1
doesnt 2
don 1
doortodoor 1
employments 1
end 1
engineers 1
episode 2
episodes 2
evil 1
expel 1
explain 1
explanation 1
facts 1
fail 1
fails 3
failure 1
fair 1
fiction 3
fight 1
final 1
find 1
finds 1
first 6
flores 1
flourish 1
following 1
follows 1
for 5
founds 1
four 1
fourth 2
friends 1
from 1
gaetano 1
game 1
gentlemen 2
given 1
goes 1
good 1
has 3
have 1
he 13
him 3
himself 2
his 7
homologous 1
homosexual 1
hotel 1
house 2
human 1
humiliating 1
humiliations 1
i 1
if 1
in 20
individual 1
individually 1
influenced 1
inside 1
intelligent 1
interrelations 1
intimacy 1
is 10
iscariote 1
its 2
itself 1
job 2
judas 1
later 3
lautramont 1
leaves 1
leaving 1
life 3
literature 1
little 1
lives 2
lover 1
mad 1
marginal 1
marquis 1
material 1
meanness 1
mechanically 1
mechanics 1
meets 1
melodramas 1
midnight 2
mimics 1
miserable 1
miserably 1
more 1
motive 1
move 1
moves 1
moving 1
narrated 1
need 1
neighborhood 1
neighborhoods 1
neither 1
nor 2
not 2
novels 1
occurrences 1
of 27
older 1
one 2
only 1
opposites 1
other 2
owner 1
paper 1
part 1
partners 1
penetrates 1
people 1
perhaps 2
person 1
petty 1
plan 1
position 1
possibility 1
post 1
precedents 1
previous 1
protagonist 2
reader 1
reading 1
reality 1
regenerated 1
relationship 1
rengo 5
rengos 1
revolver 1
room 1
sade 1
salesman 1
salvation 1
same 1
say 1
scenes 1
school 2
second 1
see 1
seems 3
sees 1
separate 1
several 1
silvio 14
silvios 1
situation 1
social 1
socially 1
society 2
south 1
steal 1
steps 1
stops 1
store 1
strange 1
structure 1
suddenly 1
suffers 1
suicide 2
surprised 1
suspects 1
telling 1
tells 1
terrible 1
that 4
the 53
theft 1
then 3
there 2
they 3
thieves 1
third 2
this 5
those 1
thoughts 1
three 1
through 5
time 2
to 12
too 1
toy 1
tradition 1
tries 3
two 2
unknowingly 1
vile 1
vitri 3
what 1
when 2
which 3
who 4
with 5
work 3
works 2
