20686614
/m/0466qqj
/m/0466qqj
Gordon Korman
2002
a 10
about 1
actors 1
after 3
again 1
against 1
an 1
and 10
anger 1
appears 1
are 1
as 4
assigned 1
at 2
attacks 1
attempt 1
ban 1
banned 1
because 2
becomes 1
bedford 1
behind 1
believe 2
believes 1
benchwarmer 1
best 1
blows 1
body 1
book 2
bored 1
brother 1
but 2
by 1
captain 1
cavanaugh 2
championship 1
changes 1
character 1
charisma 1
club 6
complete 1
consequently 1
culprit 2
currently 1
cut 1
date 1
decides 1
decision 1
despite 1
detention 3
disaster 1
dislikes 1
does 1
dont 1
down 1
drama 3
during 2
dylan 2
else 1
end 1
english 1
entire 1
entirely 1
eventually 1
ever 1
everyone 1
famous 1
feelings 3
felt 1
figures 1
final 1
first 1
fluke 1
fogelman 1
football 4
for 3
former 1
friend 1
friends 1
from 1
furthermore 1
go 1
guy 1
had 1
handed 1
has 2
having 1
he 7
her 4
hero 2
him 3
his 9
ideas 1
impresses 1
improvement 1
in 3
including 1
initial 1
initially 2
insisted 1
is 10
isnt 1
it 1
jerseys 1
join 1
joins 1
knows 1
lie 2
lightly 1
live 1
love 1
lucky 1
main 1
make 1
meanwhile 1
member 1
members 1
middle 1
mind 1
miraculous 1
most 1
move 1
mr 1
mutual 1
my 2
negative 1
not 1
of 6
old 2
on 4
one 2
out 1
own 1
pal 2
performancejust 1
person 1
plan 1
play 5
popular 1
practice 1
praise 1
producing 1
prop 1
quality 1
quits 1
rachel 5
realize 1
realizes 1
really 1
recognize 1
recovery 1
refuses 1
regards 1
rehearsals 1
report 1
results 2
revenge 1
review 2
ruined 1
sabotage 1
saboteur 1
school 1
scoring 1
set 1
she 1
shep 4
since 1
soon 2
spare 1
spent 1
steve 1
student 1
suggestions 1
take 1
teacher 1
team 5
telling 1
tells 1
that 5
the 33
their 1
they 2
this 2
ties 1
to 7
together 1
touchdown 2
town 1
truth 1
turn 1
turner 1
unknown 1
until 1
up 2
use 1
vandal 1
vandalizes 1
version 1
view 1
wallace 21
wanted 1
was 4
what 1
when 4
which 2
who 1
whose 1
winning 3
with 3
wont 1
write 1
writes 2
young 1
