10935845
/m/02qvhxk
/m/02qvhxk
George Meredith
1856
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 5
acquires 1
afrite 1
along 1
an 1
and 11
are 1
arts 1
as 1
bagarag 2
ball 1
barber 1
book 1
bottled 1
by 3
came 1
capsule 1
city 1
corner 1
creatures 1
enchanted 1
enchantress 1
entered 1
exotic 1
fingernails 1
followed 1
genies 1
given 1
hair 1
hawk 1
he 5
held 1
her 1
his 2
holds 1
in 3
including 1
is 1
it 1
king 1
kingdom 1
known 1
magic 1
magical 1
meets 1
men 1
noorna 1
not 1
now 1
of 14
on 1
one 1
palace 1
paragraph 1
persian 1
power 1
princesses 1
provides 1
quest 1
released 1
robes 1
second 1
series 1
several 1
shagpat 1
shaved 1
shaving 1
shibli 3
sleeping 1
story 2
subjection 1
subterranean 1
summary 1
sword 1
talking 1
the 16
their 1
thrall 1
to 1
traced 1
twere 1
two 1
tyrant 1
way 1
who 1
written 1
