6334150
/m/0g1jm8
/m/0g1jm8
Tim Powers
1989-09
a 13
able 2
about 1
accompanied 1
active 1
after 1
all 2
alps 1
also 3
and 12
another 1
answering 1
anyone 1
apparition 1
are 3
as 5
assist 1
attempts 1
attention 1
attracted 1
avenge 1
awakes 1
be 3
bed 1
before 2
begins 1
best 1
blessing 1
bond 1
both 1
break 1
bride 1
but 1
by 3
byron 3
called 1
can 1
claire 1
clarmont 1
connected 1
considers 1
continent 1
corpse 1
could 1
crawford 14
creativity 1
curse 1
danger 1
day 1
despite 1
destroy 1
developments 1
discover 1
discovers 1
disturbed 1
doctor 1
does 1
doing 1
encounter 1
englishman 1
event 1
experience 1
extremely 1
find 1
flees 1
for 2
free 2
from 4
garden 1
goes 1
great 1
griefstricken 1
hand 1
happened 1
has 3
haunted 1
have 1
he 8
help 2
her 2
herself 2
high 1
him 2
himself 3
his 4
honor 1
horribly 1
humanity 1
humans 1
in 6
inadvertently 1
inspire 1
is 8
it 2
jealous 1
john 2
josephine 3
julia 4
jungfrau 1
keats 3
killed 1
knowing 1
learns 1
lives 1
london 1
lord 1
loved 1
maid 1
make 1
man 1
manages 1
marries 1
may 2
medical 1
medicine 1
meets 1
michael 1
might 1
more 1
morning 1
mountains 1
murdering 1
muses 1
must 1
mutilated 1
mysterious 2
mysteriously 1
nature 1
nephilim 9
next 2
night 1
not 1
now 1
of 13
off 1
on 2
one 3
ones 1
over 1
passes 1
percy 1
personal 1
place 1
places 1
placing 1
poets 2
polidori 1
proceeds 1
prolong 1
recommends 1
regard 1
rest 1
retrieve 1
riddle 1
ring 2
rival 1
said 1
save 1
saves 1
see 2
seizure 1
serve 1
serves 1
she 1
shelley 3
shoot 1
shortly 1
sister 2
so 2
some 1
sphinx 1
statue 3
still 1
story 1
stress 1
student 1
studying 1
suffering 1
suspected 1
that 1
the 38
their 2
themselves 1
there 1
they 4
this 1
threaten 1
to 14
tragedy 1
traveling 1
true 1
twin 1
two 1
understand 1
unwittingly 1
up 1
upon 1
vanished 1
venice 1
version 1
visit 1
visiting 1
wards 1
way 2
wedding 4
what 1
when 1
where 2
which 1
while 2
who 6
wife 2
will 2
with 2
works 1
world 1
yet 1
