7074399
/m/0h2ykt
/m/0h2ykt
Banana Yoshimoto
1999
a 7
about 1
after 1
alone 1
and 2
apparent 1
as 1
back 1
becomes 1
book 2
brother 1
but 1
coma 1
consists 1
continues 1
couple 1
dream 1
ends 1
fianc 1
filled 1
first 1
follow 1
from 1
hard 1
hardboiled 1
he 1
her 2
hiking 1
his 1
hotel 1
in 4
incident 1
incidents 1
interested 1
is 6
it 1
kuni 2
leaves 1
luck 1
making 1
mixture 1
narrative 1
of 6
parts 1
passes 1
perspective 1
protagonist 1
second 1
separate 1
sequences 1
shrine 1
sister 1
stories 1
story 4
strange 1
surreal 1
that 2
the 8
this 1
title 1
to 1
two 2
up 2
visit 1
who 1
whose 1
with 1
woman 2
written 1
