49759
/m/0d6qm
/m/0d6qm
George Orwell
1933-01-09
34a 2
34b34 1
34cold 1
34congenital 1
34enter 1
34evidently 1
34ignorance 1
34one 1
34patient 1
34spikes34 1
a 44
abroad 1
accommodation 2
adds 1
adequate 1
after 2
again 4
ago 1
alive 1
all 2
all34 1
allows 1
almost 1
also 1
am 1
amateur 1
among 1
an 7
and 41
anecdotes 1
any 5
appalling34 1
apparent 1
appear 1
are 3
arm 1
army 3
arrives 1
art 1
artist 1
artistic 1
as 9
asking 1
asleep 1
assortment 1
astronomer 1
at 14
atmosphere 1
auberge 3
away 1
back 3
backand 1
background 1
bar 1
be 4
beams 1
became 1
because 3
become 1
bed 1
been 3
beggar 1
beginning 1
begins 2
being 2
benchit 1
beneath 1
better 2
book 2
boris 4
boriswork 1
bought 1
bozo 1
break 1
briefly 2
but 3
by 7
called 1
can 2
candlesticks 1
care 1
caste 1
catalogue 1
chaotic 1
chapter 6
chapters 3
characters 3
charity 1
charlie 1
cheap 1
chic 1
christian 1
claims 1
clothes 3
colder 1
committed 1
communists 1
compelled 1
compositor 1
concludes 1
concluding 1
concorde 1
confined 1
considers 1
cottard 1
could 1
curiosities34 1
customers 1
cuts 1
day 2
days 2
de 2
decidedly 1
decorationssham 1
definitely 1
descent 1
describe 2
describes 2
despite 1
did 1
different 1
difficulties 1
dirt 1
disappearance 1
dishwasher 1
do 2
doing 1
done 1
doorand 1
drinking 1
drunken 1
duly 1
early 1
eatinghouse 1
education 1
eighteen 1
electric 1
employers 2
energy 1
english 2
enjoy 1
enough 1
even 2
excellent 1
excolonel 1
expect 1
expectation 1
expectedrather 1
expecting 1
experience 1
extraordinary 1
face 1
fairness 1
falls 1
family 1
feel 1
feels 1
fellow34 1
fighting 1
filth 1
filthy 1
final 1
financial 1
finds 1
first 1
five 1
food 1
for 11
forges 1
formed 1
formerly 1
forms 1
francs 1
frantic 1
free 1
freer 1
frequented 1
friend 2
fringe 1
from 3
general 1
get 2
give 1
given 1
giving 1
gone 2
good 3
grateful 2
gratefulstill 1
had 3
half 1
halles 1
handbill 1
hard 1
has 4
have 8
he 25
head 1
him 6
himself 1
his 16
holiday 1
home34 1
hostels 2
hotel 5
hotelmanagercookswaitersplongeursand 1
hours 7
hours3 1
houses 1
htel 2
humiliating 1
hunger 1
i 9
if 4
iii 1
imbecile34 1
impossible 1
in 23
include 1
income 1
incompetence 1
indecent 1
intention 1
interspersed 1
into 4
introduce 2
irish 1
is 16
it 3
italian 2
its 1
jehan 1
job 6
jobs 1
journeys 1
just 2
keep 2
keys 1
kitchen34 1
la 1
labour 1
lack 1
landlady 1
later 2
learned 1
leaves 1
leisure 1
leisured 1
les 1
less 1
lessons 1
life 4
lights 1
limitless 1
literally 1
literary 1
lives 1
local 1
lodging 1
london 4
long 4
longer 1
