7774225
/m/026cnd3
/m/026cnd3
Richard Brautigan
1971-03-23
a 6
abortion 2
about 1
accepts 1
admen 1
all 1
although 1
american 2
an 1
and 5
angst 1
any 1
anyone 1
appears 1
are 1
as 3
at 4
author 1
awkward 1
beautiful 1
becomes 1
bell 1
best 1
book 1
books 1
but 1
by 4
california 1
catalogued 1
concerning 1
crayon 1
day 1
decimal 1
described 1
dewey 1
discretion 1
door 1
drop 2
dustfree 1
falls 1
form 1
from 1
genre 1
gotten 1
hands 1
haunted 1
have 2
her 1
home 1
hours 1
if 1
in 6
into 1
is 2
judgment 1
librarian 3
library 2
librarychildren 1
love 1
lyrical 1
made 1
magically 1
memoirsdescribed 1
mexico 1
most 1
named 1
national 1
necessitating 1
not 1
novel 2
of 3
off 1
old 1
on 2
one 2
park 1
parody 1
people 1
placement 1
pregnant 1
reclusive 1
secure 1
serve 1
she 1
shelf 1
shy 1
silver 1
soon 1
submissions 1
submit 1
summoned 1
system 1
tales 2
teenagers 1
tell 1
the 14
their 3
they 1
tijuana 1
to 3
told 1
toys 1
trip 1
unusual 1
unwanted 1
very 1
vida 2
volumes 1
which 1
whichever 1
who 2
wishes 1
with 2
woman 2
world 1
would 3
writing 1
