484189
/m/02g17y
/m/02g17y
David Graham

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
1200 1
a 23
able 1
aboard 1
accordingly 1
affected 1
after 7
air 2
aircraft 3
airfield 2
airline 2
all 2
allies 1
almost 1
also 1
altitude 1
amateur 1
america 1
an 2
and 26
antarctic 1
antarctica 2
antonov 2
apartment 2
are 5
armed 1
arrive 1
arrived 1
as 4
ash 1
assets 1
at 6
attack 2
attacked 3
attacking 1
attempt 1
attendant 1
aviv 1
axis 1
azores 1
bankrupt 1
base 2
basic 1
been 2
beirut 1
board 2
bomb 1
book 1
borderlinestarving 1
both 1
britain 1
british 2
brought 1
burglars 1
burns 1
but 4
by 7
byproducts 1
cairo 1
caloriesday 1
can 1
cannot 1
capel 3
cargo 1
carry 2
carrying 1
certainly 1
chain 1
chance 2
characters 1
chicken 1
china 1
city 1
civilian 1
cleaning 1
clearly 1
collapse 1
collapsed 1
confirm 1
contact 1
contacted 1
continue 1
cooperation 1
copilot 1
country 1
crash 1
crew 4
damascus 1
death 1
decide 1
deduce 1
deep 1
demonstrates 1
described 1
desperate 1
desperately 1
destruction 1
detail 1
different 1
disguised 1
disobeying 1
do 2
dollar 1
down 1
dressing 1
droppings 1
due 1
during 1
dwindling 1
each 1
earth 1
eddie 2
either 1
en 1
endings 1
endure 1
enough 1
equivalent 1
europe 2
evacuate 1
even 2
everything 1
existence 1
expense 1
explosions 1
faced 1
fact 1
falkland 1
fallout 1
female 1
fictional 1
field 1
fifty 1
fight 1
figure 1
find 2
first 1
flight 2
fly 1
flying 1
food 2
for 8
force 1
freighter 1
from 5
fuel 3
full 1
funchal 1
generated 1
girlfriend 1
guard 1
has 7
hatch 1
help 3
her 1
his 5
holocaust 1
how 1
however 1
if 1
illegally 1
in 8
informed 1
initially 1
instructions 1
intact 2
into 1
is 14
island 1
islands 1
israel 2
it 5
its 3
jettisoning 1
john 1
jonah 13
juan 1
jumping 1
just 1
kate 6
know 1
lajes 5
land 2
landing 1
lands 2
large 1
layer 1
leaving 1
led 1
levels 1
life 1
local 1
london 3
looking 1
lovely 2
machines 1
make 2
male 1
manage 1
many 1
mcmurdo 2
medical 1
methane 1
military 1
mistaken 1
monahan 1
more 3
morning 1
mostly 1
must 3
nato 1
naval 1
nearly 1
necessary 1
needed 1
neutron 1
new 3
newlyorphaned 1
next 1
night 1
not 2
nuclear 6
number 1
numerous 1
nyc 1
occupy 1
of 18
off 2
offers 1
officer 1
oil 1
on 7
one 2
optimistically 1
or 2
other 1
overcast 1
partners 1
passengers 1
peace 1
people 1
person 1
pilot 2
place 1
plane 4
plus 1
poisoning 1
police 1
powered 1
provisions 1
pure 1
quite 1
radar 1
radio 1
radioactive 2
reactivate 1
reactor 1
realised 1
rebuild 1
redblooded 1
redhead 1
refueled 1
refugees 1
regarding 1
regular 1
require 1
reserves 1
resident 1
resultant 1
retaliation 1
return 1
rising 1
room 1
route 1
russian 2
sacrifice 1
sacrifices 1
sas 1
scientists 1
scott 1
sea 1
sealed 1
seeing 1
senior 1
shortly 1
sights 1
skills 1
soldiers 1
soon 1
soviet 2
soviets 1
states 1
stolen 1
story 1
strike 1
subject 1
suffered 1
sufficient 1
suggest 1
sunless 1
superintendent 1
supply 1
survivor 1
survivors 4
take 2
taxi 1
tel 1
teletype 1
than 1
that 6
the 48
their 3
them 2
themselves 1
then 1
theological 1
there 3
they 7
third 1
thoughts 1
thousand 1
through 1
tilt 1
time 1
to 20
together 1
told 1
transport 1
travel 1
triggers 1
troop 1
twist 1
two 2
unable 1
underground 1
united 1
up 1
use 1
using 1
ussr 1
via 1
volunteers 1
warmth 2
was 1
water 1
way 1
weapons 1
weight 1
well 2
what 1
when 1
whether 1
which 3
while 1
who 5
windswept 1
with 10
wonder 1
world 2
worldwide 1
wound 1
wounded 1
york 3
