1130010
/m/048vzf
/m/048vzf
Dr. Seuss
1940

a 6
absurd 1
actuality 1
all 1
an 4
and 8
any 1
are 1
at 1
atop 1
baby 1
beach 2
because 1
being 1
between 1
bird 1
book 1
break 1
by 4
captured 1
cent 1
circus 3
clear 1
concerns 1
convinced 1
creature 1
cross 1
demands 1
despite 1
due 1
egg 3
elements 1
elephant 3
elephantbird 1
emerges 1
ending 1
ends 2
endure 1
exposed 1
faithful 1
finally 1
for 3
forced 1
friends 1
happily 1
hardships 1
hatch 1
hatches 1
he 1
her 2
his 4
horton 7
however 2
hundred 1
hunters 1
i 4
in 2
insists 1
intent 1
irresponsible 1
is 5
its 1
jungle 2
keeping 1
laughed 1
laziness 1
lazy 1
leave 1
makes 1
mayzie 6
meant 2
named 1
naturally 1
ndash 1
near 1
nest 1
new 1
not 1
nothing 1
of 2
offering 1
on 2
once 1
one 1
palm 2
per 1
permanent 1
persistence 1
placed 1
punished 1
quite 1
refuses 1
relocation 1
residence 1
return 2
returned 1
returns 1
reward 1
rewarding 1
said 2
scene 1
sea 1
she 2
short 1
sight 1
sit 1
sitting 1
takes 1
terrible 1
that 1
the 11
these 1
through 1
to 9
traveling 2
tree 1
up 3
visiting 1
voyage 1
what 2
when 1
which 1
while 2
who 1
with 1
without 1
word 1
