4887535
/m/0csp3x
/m/0csp3x
Joe Sacco

12 1
14 1
15 1
700 1
8000 1
a 14
according 1
accords 1
accounts 1
action 2
adopted 1
advance 1
afe 2
after 3
aftermath 1
again 1
against 1
aggression 2
aggressors 1
agreement 2
aid 1
airdropped 1
airlifted 1
alija 1
also 2
amid 1
among 5
amongst 1
an 1
and 45
another 1
any 1
apart 1
are 4
area 1
areas 3
arm 1
armed 1
army 1
as 1
assault 1
assurance 1
at 4
atmosphere 1
atrocities 1
attack 4
back 2
basic 1
battlefields 1
be 3
been 1
before 2
begins 2
believed 1
benetton 1
between 1
blind 1
bloody 1
blue 2
bombing 1
bombings 2
bosnia 8
bosniak 7
bosniaks 8
bosnian 5
both 4
breaking 1
bringing 1
british 1
broz 1
brutal 1
buried 1
burnt 1
but 2
by 15
c130s 1
cafs 1
came 1
can 1
caught 2
causes 1
changed 1
charismatic 1
chauvinistic 1
chose 1
civilians 1
come 1
committed 1
community 1
compromise 1
conditions 1
conflict 1
conflicts 1
contingent 1
cost 1
could 2
couldnt 1
country 1
crisis 1
croat 1
croatbosnian 1
croatia 1
croatian 1
croats 4
cultural 1
dare 1
dayton 1
dead 1
death 1
declare 1
defend 2
demobilize 1
democratic 3
designated 2
desperately 1
despised 1
despite 1
destruction 2
deteriorating 1
development 1
develops 1
diplomatic 1
disarmament 1
disintegration 1
do 1
drive 1
drives 1
due 1
during 1
dutch 1
eastern 2
edin 8
effect 1
effort 1
efforts 1
elected 1
electricity 1
en 1
enclave 1
enemy 2
engineering 1
enter 1
epa 3
equally 1
era 2
escape 1
escaping 1
etc 1
ethnic 1
events 1
everybody 1
everything 2
evicted 1
executions 1
expelled 1
extreme 1
failed 1
fall 1
family 2
favor 1
fear 2
fearing 1
federation 1
few 1
finally 1
find 1
firmly 1
first 2
firsthand 1
flocked 1
flown 1
foa 1
food 2
for 6
forces 4
former 2
friend 1
friends 2
from 13
fun 1
gains 1
gen 1
general 1
germany 1
get 1
gets 1
go 3
goes 1
gorazde 18
graduate 1
had 2
hands 2
has 4
hated 1
have 3
having 2
he 3
heavy 1
help 1
hence 1
herzegovina 1
his 3
home 1
homes 3
horrendous 1
hostages 1
hostile 1
however 2
humanitarian 1
humiliation 1
hunger 1
immediate 1
implicated 1
important 1
in 28
inaction 1
incite 1
inciting 1
independence 2
indignation 1
indiscriminate 1
infrastructures 1
international 2
intervention 1
intimidated 1
into 1
is 11
it 1
its 3
izetbegovi 1
joe 1
joint 2
josip 1
journalists 1
karadi 1
kill 1
killed 1
larger 1
later 1
leader 1
led 1
life 3
links 1
lives 1
locals 1
long 1
looted 1
lose 1
lost 1
loved 1
loyalties 1
mainly 1
maintain 1
major 2
make 1
males 1
manage 1
manners 1
many 2
mass 1
massacred 1
masse 1
massive 1
meanwhile 1
media 1
members 1
memories 1
merchandise 1
military 2
militiamen 1
militias 3
miloevi 1
mladi 2
more 1
most 3
much 4
multiethnic 1
must 1
narrations 1
narrow 1
nationalism 1
nations 1
nearby 1
negotiating 1
neutrality 1
newly 1
news 1
night 1
no 3
northern 1
not 1
now 6
numerically 1
of 34
offensive 7
on 4
once 2
ones 1
only 2
open 1
opened 2
orchestrated 1
organize 1
other 3
others 1
out 2
outnumbers 1
over 1
packages 1
painful 1
partisan 1
party 2
pass 1
patrol 1
peace 1
peacekeepers 4
peacekeeping 2
people 1
period 1
persecuted 1
plans 1
pleas 1
pluralism 1
point 1
political 1
population 2
positions 2
prepare 1
president 2
process 1
propagandized 1
protect 2
proudly 1
races 1
radovan 1
raged 1
raised 1
rapes 1
rapidly 1
ratko 1
reach 1
reaches 1
realized 1
recall 1
receded 1
refugee 1
refugees 3
regions 1
rejoice 1
relieve 1
remain 1
representing 1
represents 1
republic 1
republics 1
republika 1
required 1
residents 3
respectively 1
respond 1
rest 2
resume 1
retake 1
return 2
returns 1
revisits 1
riki 1
risk 1
road 3
sacco 4
safety 1
sarajevo 4
scale 1
second 1
sentiment 1
separate 1
serb 12
serbbosniak 1
serbdominated 3
serbia 1
serbian 1
serbs 17
shop 1
shortage 1
shortages 1
sides 2
sieged 2
situation 3
slobodan 1
slovenia 1
society 1
sparks 1
srebrenica 3
srpska 1
states 2
stationed 1
still 1
stood 1
stop 2
story 1
strategic 1
streets 1
student 1
studies 1
studying 1
subjected 1
succeeds 2
such 1
suffer 1
suffering 1
superior 1
supervise 1
supplies 1
surrounded 1
table 1
take 1
takes 1
tension 1
terrible 1
testify 1
than 1
that 6
the 89
their 12
them 7
there 2
thereafter 1
these 1
they 7
this 3
threatened 1
through 3
throughout 2
time 1
tito 2
to 32
took 1
totally 1
town 4
towns 2
townsfolk 1
trail 1
traitors 1
troops 2
try 2
turned 1
un 7
unaware 1
unfolding 1
union 1
united 3
unprepared 1
unprofor 1
upcoming 1
us 1
used 1
utilities 1
viegrad 1
view 1
vigilantes 1
village 1
villagers 1
visible 1
visits 2
war 4
was 3
waste 1
wasted 1
were 7
which 2
while 2
who 5
whose 1
winter 1
with 3
within 1
without 1
workers 1
world 2
would 3
year 2
yugoslav 1
yugoslavia 3
