2709167
/m/07zctd
/m/07zctd
John le Carré
1989-06-01
{"/m/06wkf": "Spy fiction"}
187 1
a 20
absence 1
after 1
agent 3
all 1
along 2
already 1
although 1
an 1
and 16
another 1
any 1
are 4
arrange 1
arrested 1
ask 1
asks 1
associates 1
at 2
atomic 1
attends 1
attentive 1
authenticity 2
authorities 1
bait 1
barley 17
bartholomew 1
beautiful 1
become 1
been 2
believes 1
betray 1
blair 1
boldly 1
book 3
bring 1
british 2
business 1
but 2
by 1
cajole 1
call 1
called 1
can 1
capabilities 1
cia 3
code 1
cold 1
come 1
connections 1
contact 2
content 1
convince 1
convincingly 1
country 1
courage 1
course 1
cover 1
dacha 1
danger 1
data 1
day 1
decide 1
democracy 1
details 1
determine 1
discussion 1
document 1
does 1
down 1
draw 1
drunken 1
due 1
end 1
exhaustion 1
exhaustive 1
explanation 1
fact 1
fair 2
family 1
final 1
finds 1
fond 1
for 3
forest 1
forward 1
freedom 1
friend 1
friends 1
further 1
games 1
get 2
gives 1
goes 1
goethe 1
governments 1
grows 1
had 1
handlers 1
has 3
hastening 1
he 7
heavydrinking 1
her 3
him 6
himself 1
his 5
home 1
hoping 1
hospitalized 1
house 2
however 2
important 1
in 13
inclined 1
informant 1
information 1
instructions 1
interested 1
interrogate 1
into 3
is 10
it 1
its 1
joining 1
katya 7
kgb 5
last 1
later 2
letter 1
likely 1
list 2
listener 1
lives 1
locate 1
major 1
makes 1
manipulate 1
manipulates 1
manuscript 6
matter 1
meeting 4
meetings 1
merely 1
message 1
mi6 4
missing 1
mission 1
months 1
more 3
moscow 2
must 1
named 1
near 1
needed 2
neither 1
nervous 1
new 1
no 1
nor 1
not 1
nuclear 1
of 16
offering 1
on 2
one 3
ones 1
only 1
open 1
operation 1
order 2
others 1
out 4
over 2
package 1
patriotism 1
peredelkino 1
philosophical 1
phone 1
play 1
politics 1
portugal 2
possibility 1
potential 1
presumably 1
privately 1
publish 1
publisher 1
publishing 1
purported 1
questions 4
reads 1
realize 1
realizes 1
reasoning 1
reasons 1
receives 1
recognizes 1
research 1
resigned 1
retreat 1
russia 2
sales 2
saying 1
says 1
scheme 1
schemes 1
scott 1
scrutiny 1
secluded 1
secrets 1
section 1
secure 1
seeks 1
serving 1
set 2
several 2
she 1
shows 1
sightings 1
site 1
some 1
soviet 5
soviets 1
specifically 1
spies 1
stay 1
such 1
suddenly 1
surveillance 1
taken 1
talking 1
tells 1
tensions 1
than 2
that 10
the 38
them 2
there 1
they 2
things 1
this 1
through 1
to 23
traded 1
truly 1
truth 2
turns 2
ultimately 1
unable 1
unconfirmed 1
under 1
undertaking 1
union 1
up 2
uses 1
ussr 1
value 1
verify 1
verifying 1
very 1
war 1
way 2
when 3
whether 1
which 1
who 1
will 1
with 8
woman 1
world 2
worn 1
yakov 7
year 1
