3513708
/m/09hp59
/m/09hp59
Elmore Leonard
1969

50000 1
a 10
also 1
and 5
another 1
are 1
at 2
beach 1
because 1
big 2
bleak 1
bob 1
bounce 1
breaking 1
burglary 1
but 1
by 1
called 1
character 2
cheating 1
coast 1
completely 1
cunning 1
deadly 1
doublecross 1
during 1
every 1
from 1
gameand 1
gets 2
girlfriend 1
give 1
going 1
got 1
have 1
hearts 1
help 1
her 1
him 1
hires 1
his 1
housebreaking 1
in 1
involved 1
is 3
it 1
jack 5
jr 1
justice 1
later 1
leonard 1
life 1
majestyk 2
man 1
married 1
men 1
michigan 1
millionaire 1
mr 2
name 2
named 3
nancy 3
new 1
northern 1
novel 2
of 10
on 2
original 1
other 1
ounce 1
payroll 1
peace 1
plans 1
possess 1
psychotic 1
pursuit 1
ray 2
really 1
resort 1
ritchie 1
ryan 1
same 1
score 1
seductress 1
set 1
she 1
shot 1
simple 1
skyrocket 1
smashing 1
stakes 1
steal 1
story 1
suddenly 1
surviveeach 1
take 1
tells 1
that 1
the 13
thief 1
this 2
thrills 1
time 1
title 1
to 6
unrelated 1
violence 1
way 1
when 1
which 1
who 3
windows 1
with 4
woman 1
work 1
wrote 1
young 2
