1089665
/m/0451g9
/m/0451g9
John Grisham
2004
15 1
170 1
23yearold 1
a 10
accomplished 1
adult 1
after 4
against 2
also 1
although 1
an 2
and 12
are 1
arrest 1
as 1
assassin 1
at 3
attack 1
balcony 1
bankruptcy 1
becomes 1
being 1
black 2
bomb 1
book 1
brutally 1
buy 1
by 3
callie 3
cannot 1
caudle 1
children 2
clanton 3
close 1
college 1
comes 1
convict 1
conviction 1
convinced 1
convincing 1
county 4
courtroom 1
criminal 1
danny 9
death 3
decide 1
decides 1
dies 1
discovers 1
do 1
dollars 2
down 1
drives 1
dropout 1
each 1
editor 2
ends 1
exacting 1
family 2
fiftythousand 1
find 1
first 2
for 4
ford 4
former 1
found 1
friend 1
from 1
front 1
grandmother 1
guilty 2
guns 1
hank 1
has 1
head 1
hear 1
heart 1
her 2
highly 1
him 4
himself 1
his 4
hooten 1
however 1
husband 1
immediately 1
in 8
internship 1
into 1
is 8
issues 1
judge 1
jurors 2
jury 6
kassellaw 2
kill 1
killed 2
kills 1
later 1
life 2
live 1
local 1
lover 1
member 2
members 2
million 1
mismanagement 1
miss 1
mississippi 3
money 1
murder 1
murderer 1
name 1
named 1
narrator 1
nearly 1
newspaper 2
nine 2
notorious 1
obituary 1
of 14
often 1
on 2
one 1
only 1
or 1
outside 1
owner 1
ownership 1
padgitt 6
paper 1
paroled 1
penitentiary 1
person 1
positioning 1
prior 1
prison 3
promised 1
rapes 1
recent 1
returns 1
reveals 1
revenge 1
rhoda 2
row 3
ruffin 3
scandalous 1
schizophrenic 1
sells 1
send 1
sentenced 2
sentencing 1
she 1
shortly 1
should 1
so 1
soon 1
spontaneously 1
state 1
that 3
the 27
they 2
this 1
threatens 1
three 1
through 2
times 3
to 12
traynor 1
trial 1
tried 1
trying 1
two 1
victim 1
victims 1
voices 1
voted 1
was 1
wealthy 1
were 2
whether 1
white 1
who 3
widow 1
willie 6
wilson 1
with 2
would 1
writing 1
years 3
young 1
