2038181
/m/06gw4l
/m/06gw4l
Philippa Pearce
1958-12-31
13 1
1th 1
a 3
adventures 1
age 1
alan 1
allowed 1
an 1
and 7
another 1
are 1
at 1
aunt 1
back 1
bartholomew 1
be 2
because 1
brother 1
called 1
can 1
century 1
child 1
chronologically 1
clock 1
communal 1
different 1
each 1
elderly 1
exercise 1
feels 1
finds 1
flat 1
garden 2
gets 1
gradually 1
grandfather 1
gwen 1
hatty 2
have 1
he 7
hears 1
here 1
him 1
his 1
in 2
infectious 1
investigates 1
is 5
landlady 1
large 1
less 1
living 1
lonely 2
long 1
may 1
measles 1
meets 1
mrs 1
night 2
no 1
not 1
now 1
of 1
one 1
only 1
out 2
peter 1
place 1
play 1
realises 1
reclusive 1
see 1
seems 1
sent 1
sequence 1
sleepy 1
small 1
stay 1
strangely 1
strike 1
sunlit 1
taking 1
the 4
they 1
to 3
tom 3
uncle 1
upstairs 1
visits 1
when 3
which 1
who 2
with 2
without 1
yard 1
