1277590
/m/04pj0m
/m/04pj0m
Raymond Benson
2002-05-02
{"/m/06wkf": "Spy fiction"}
a 5
agent 1
also 1
an 1
bond 3
businessman 1
by 1
daughter 1
dead 1
dies 1
entire 1
family 1
female 1
finds 1
flight 1
friend 1
from 1
her 1
here 1
him 1
his 1
illness 2
important 1
in 1
introduces 1
is 3
james 2
japan 2
japanese 3
killed 1
killer 1
kingdom 1
later 1
longtime 1
mutant 1
mutated 1
mysterious 1
nile 1
not 1
of 4
on 1
only 1
out 1
reunites 1
search 1
she 1
tanaka 1
that 1
the 6
tiger 1
to 3
travels 1
united 1
version 1
virus 2
was 1
west 1
who 2
with 1
woman 1
young 1
