31870172
/m/0gvtr90
/m/0gvtr90

2011-05
{"/m/06n90": "Science Fiction"}
11 1
16 2
160s 1
20 1
a 52
about 4
abrasive 1
across 1
actually 1
adopt 1
afar 1
africa 1
after 5
against 1
agreement 1
alien 1
all 3
alliance 1
allies 1
allow 1
along 2
also 8
always 1
an 6
and 67
angered 2
angrily 1
anticipated 1
any 1
anything 1
anywhere 1
apollo 1
are 11
argument 1
ark 4
arrive 2
arrives 4
arriving 1
as 12
aside 1
asks 1
assistant 1
at 3
atlantic 1
attack 1
attacked 4
attacks 1
attempt 1
attempts 3
autobot 2
autobots 27
avoid 1
away 1
back 3
backup 1
base 3
battalion 1
battle 5
battles 1
battling 3
be 5
because 1
become 2
been 4
before 5
behind 1
being 4
believed 2
believes 1
betrays 2
between 1
blaster 1
blow 1
boarded 1
books 1
boss 1
bothered 1
brains 2
breaking 1
bridge 6
bridges 1
brief 1
bring 1
broadcasts 1
bruce 1
building 2
built 1
bumblebee 11
but 4
butler 1
by 26
called 3
cameras 1
can 1
cannon 1
captain 2
captured 1
car 2
cargo 1
carly 12
carlys 2
carried 1
carrying 1
centre 1
ceo 1
charlotte 1
chicago 5
city 5
co 2
collapse 1
commands 1
company 2
complains 1
complete 1
conflict 1
confronted 1
construction 2
control 4
convinces 1
cosmonaut 2
could 3
cover 2
coworker 2
crankcase 1
crash 1
crashed 2
crashing 1
crowbar 1
cybertron 5
cybertronian 2
datsun 1
day 1
dc 4
dead 1
decepticon 10
decepticons 16
decommissioned 2
deduces 1
defuses 1
demands 2
deploys 1
destroy 5
destroyed 1
destroys 1
destruction 1
diego 1
difference 1
dig 1
director 5
discover 1
discovered 1
discovery 1
disguised 2
disintegrates 1
distracts 1
do 1
doesnt 1
down 2
dread 1
dreads 2
drift 1
driller 4
due 1
dutch 1
dylan 13
earth 7
earths 4
east 2
elsewhere 1
encountering 1
encounters 2
end 2
enlisting 1
ensues 1
ensuing 1
enthusiast 1
epps 6
escape 2
escapes 2
escort 1
estate 1
evacuated 1
events 1
eventually 1
exchange 1
exile 1
exiled 1
experiences 1
eye 1
facility 2
fails 1
falls 1
family 1
father 1
favour 1
few 1
fight 1
film 1
find 1
first 2
five 3
flagship 1
following 4
footage 1
for 11
forced 2
forces 7
forcibly 1
former 2
forms 1
free 1
friction 1
from 3
front 1
fully 1
garcia 1
gasket 1
get 1
gets 2
giant 1
girlfriend 1
give 1
given 1
gives 1
globe 1
going 2
gone 1
gould 2
government 2
gravely 1
group 3
had 1
has 4
hatchet 1
have 10
having 6
he 25
head 2
heads 1
help 2
helped 1
helps 1
hidden 3
hiding 1
him 11
himself 1
his 10
hold 1
home 1
hope 1
horde 2
hosted 1
how 2
however 5
huge 1
human 5
humans 5
hundred 2
if 3
in 30
including 1
incredulous 1
inform 2
informs 1
injured 2
injuring 1
intelligence 1
intend 1
intends 1
intention 1
interview 1
into 4
introduced 1
inventor 1
investigate 2
investment 1
ironhide 3
is 21
it 7
jetpack 1
job 5
join 1
joining 1
july 1
just 3
key 1
kill 1
killed 5
killing 1
kills 2
kiss 1
knocked 1
knocks 1
knows 2
labour 1
landing 1
laser 1
laserbeak 6
later 3
launcher 1
lay 1
lead 2
leader 1
leadership 1
league 2
learn 1
learnt 1
leave 3
leaves 2
leaving 2
left 4
lennox 3
life 3
lives 1
living 2
longthought 1
lost 2
lying 1
main 1
major 1
make 2
makes 1
manage 1
massacre 1
massacres 1
matrix 1
maybe 1
meanwhile 1
mearing 5
meet 2
meeting 1
meets 2
megatron 15
members 1
mentor 1
mercenaries 1
met 1
middle 2
military 2
millionaire 1
mine 1
mining 1
mirage 6
missing 1
mission 2
monitor 1
moon 9
most 1
motion 1
move 1
multitude 1
murdering 1
must 1
mysterious 1
named 3
nest 3
never 3
new 5
no 1
not 1
noting 1
now 4
nuclear 1
object 2
of 32
off 3
old 1
on 17
one 3
only 7
onto 1
open 2
opening 1
opens 1
operations 2
optimus 22
order 1
orders 2
origin 1
other 3
outfits 1
over 3
overpowered 1
oversee 1
own 1
pair 1
part 2
party 1
peace 1
personalities 1
persuaded 1
piece 2
pillar 10
pillars 6
piloted 3
place 1
plan 2
planning 2
plans 4
plot 1
population 3
powerless 1
predecessor 1
prepare 1
prepares 1
present 1
prime 25
primes 2
produces 1
proper 1
proposing 1
protoforms 1
prying 1
prypiat 2
public 1
puzzled 2
quickly 1
race 1
radios 1
raged 1
ratchet 8
ready 1
realise 2
realises 2
realising 1
rebel 1
rebuild 2
recently 1
recognises 1
record 1
recover 2
recovered 2
recovers 1
rekindled 1
remain 1
remaining 2
remains 1
reports 1
rescue 1
rescues 1
resembling 1
resources 2
response 1
restless 1
retreat 1
retreats 1
retribution 1
retrieve 3
retrieved 1
return 4
reveal 2
revealed 1
revealing 2
reveals 13
revive 1
revives 1
rid 1
ring 1
robert 1
ruse 1
russian 1
rust 1
sam 31
sanctioned 1
saved 1
scuffle 1
second 1
secret 1
secretary 1
sector 1
secured 1
seem 1
seems 1
send 1
sentinel 23
sentinels 1
services 1
set 1
setup 1
seven 1
severely 1
seymour 1
share 1
ship 6
shockwave 4
shockwaves 1
shot 3
sideswipe 5
silence 1
simmons 2
site 1
slave 1
small 1
so 3
some 1
something 1
soon 2
soundwave 6
soviet 1
space 9
speaks 1
special 1
spencer 1
spy 1
starscream 4
starscreams 1
starting 1
states 1
stolen 1
stowaway 1
stowaways 1
strike 1
subteam 1
subtly 1
suddenly 2
suits 1
supplies 1
surface 1
survive 1
surviving 1
tank 1
tech 1
teleport 1
television 1
that 30
the 151
their 7
them 2
then 3
they 13
think 1
this 5
though 2
threats 1
three 3
through 1
tides 1
time 1
tipped 1
tipping 1
to 66
together 1
transformers 1
transports 1
tries 1
true 1
turn 1
turned 1
twice 1
twins 2
two 1
ukraine 1
un 1
unable 1
unaware 1
uncovered 2
unharmed 1
uninhabitable 1
union 1
unwittingly 1
up 7
us 3
use 2
used 1
user 1
uses 1
using 2
various 1
vehicle 1
want 1
war 3
warns 1
was 6
washington 4
waste 1
way 2
weakened 1
weapon 1
wear 1
were 2
wheelie 2
wheeljack 5
when 2
where 3
which 3
while 5
whilst 1
who 12
whole 1
whose 1
why 2
will 5
wind 1
with 26
witnessed 1
won 1
wont 1
work 2
workers 2
working 2
world 1
would 1
wreckers 3
writing 1
xantium 2
years 1
