9723198
/m/02pq70n
/m/02pq70n
Rex Stout

0 1
146 2
400 1
50000 2
a 22
accepts 1
acquaint 1
administration 1
after 2
again 2
along 1
also 2
altered 1
am 1
an 1
and 27
angelina 2
another 1
any 2
apartment 1
apparently 1
appears 1
archie 13
are 3
armed 2
around 1
arranged 2
arranges 1
arrive 2
arrives 5
as 9
ask 1
asking 1
assets 1
at 9
authorities 2
avenue 1
back 2
backgrounds 1
barely 1
be 1
become 1
beef 1
been 2
before 1
begun 1
best 1
beulah 3
black 1
blackmail 1
brownstone 4
bullets 2
but 8
by 8
calls 1
can 2
cant 1
car 1
celebration 1
checking 1
chop 1
climax 1
come 2
comes 1
commission 1
concern 1
concerns 1
connections 1
daughter 10
day 1
dazy 2
dead 1
death 1
delivered 1
delivers 1
demands 2
dinner 1
disbursement 1
disclose 2
doesnt 2
dollars 1
drives 1
driving 1
each 1
enable 1
enemies 2
engaged 1
engagement 1
enlist 1
enough 1
ersatz 1
escort 1
estate 1
executor 1
existence 2
expected 2
extorts 1
fabian 1
fears 1
fee 1
few 1
fifth 1
figured 1
find 1
fired 1
firing 1
for 9
forth 1
found 1
frantic 1
from 6
gangster 2
gave 1
get 2
give 1
gives 1
grifter 1
guests 1
gun 1
had 1
harming 1
has 14
have 3
he 14
help 1
her 9
him 5
himself 1
hint 1
his 13
hit 1
home 1
house 1
httpwwwpresidencyucsbeduwsprintphppid12516 1
identity 2
if 1
in 9
including 1
information 1
inside 2
installed 1
invited 1
invites 1
is 13
it 7
its 1
judgment 1
just 2
keep 1
kept 1
killed 2
know 3
known 1
l 1
lamb 1
later 2
law 1
lawyer 2
learning 1
learns 1
left 1
let 1
local 1
location 1
longer 1
lt 1
make 1
makes 1
making 1
man 1
market 1
marry 1
may 1
meat 3
meeker 3
meet 1
meeting 3
met 1
midnight 1
might 2
misery 1
miss 5
money 2
month 1
morton 1
motive 1
mr 1
murderer 3
murphy 6
must 1
name 1
named 2
naming 1
needs 1
night 2
no 2
not 4
notorious 1
now 1
number 1
occasion 1
of 10
offers 1
office 2
on 3
once 1
one 2
only 1
or 4
originally 1
other 1
otherwise 1
out 3
outlines 1
outside 1
over 1
pacing 1
page 2
panzer 2
past 1
pay 1
penthouse 1
people 1
perrit 23
persuades 1
perturbs 1
phone 1
plans 1
pointed 1
police 1
pork 2
precinct 1
prefer 1
present 1
pretext 1
problem 2
protect 1
protests 1
put 1
puts 1
questioned 1
questioning 1
real 2
really 1
reasons 1
recently 1
released 1
represented 1
residence 1
return 1
right 1
rowcliff 2
run 1
saul 2
scene 1
schane 3
schwartz 3
secret 3
seeking 1
send 1
sends 1
several 1
she 10
shortage 1
shot 1
shows 1
simply 1
snatch 1
so 2
some 1
something 1
somewhere 1
starts 1
stop 1
stopped 1
student 1
taken 1
taxi 1
tell 2
tells 2
temper 1
that 14
the 29
them 3
then 1
there 1
they 3
theyre 1
thinks 2
this 3
thousand 1
threat 1
threatens 1
threats 1
three 1
thug 1
thugs 1
thumbs 2
time 2
to 25
tom 1
ultimatum 1
unhurt 1
unscathed 1
up 2
use 1
uses 1
utah 2
veal 1
violent 1
wants 3
well 1
when 3
where 2
who 5
whose 1
will 5
with 4
wolfe 25
worry 1
would 1
young 1
