4043114
/m/0bf3wv
/m/0bf3wv
John Steinbeck
1957
{"/m/014dfn": "Speculative fiction"}
a 6
after 1
against 1
alteration 1
amateur 1
an 1
and 1
appointed 1
as 1
astronomer 1
at 1
avoid 1
because 1
charlemagne 1
chosen 1
commoner 1
communists 1
constrained 1
descend 1
destined 1
dethronement 1
dressing 1
enact 1
eventually 1
explores 1
family 1
famous 1
for 1
france 2
from 1
giving 1
he 1
his 3
housings 1
hristal 1
is 1
iv 1
king 3
kingship 1
lack 2
life 3
monarchy 1
mostly 1
motorscooter 1
novel 1
of 11
often 1
palace 1
people 1
pippin 5
portion 1
privacy 1
proclaimed 1
protagonist 1
reason 1
rebellion 1
receive 1
receives 1
revolt 1
riding 1
rumored 1
sole 1
spends 1
suddenly 1
telescope 1
the 11
to 4
uncomfortable 1
unhappy 1
unknowingly 1
up 1
versailles 1
was 2
wish 1
with 1
