6565097
/m/0gbt9y
/m/0gbt9y
Peter Jinks
2002-04-01
17yearold 1
a 3
alex 1
and 6
anne 1
around 1
as 1
attention 1
away 1
best 1
binoculars 1
boy 2
committed 1
depths 1
destructive 1
fallen 1
father 1
foe 3
follows 1
friend 1
from 1
had 1
hallam 2
hand 1
has 1
he 2
him 1
himself 1
his 5
hobby 1
house 1
in 4
into 1
julius 1
keeps 1
life 3
live 1
lives 2
logbooks 1
lucy 1
most 1
mother 1
of 3
people 1
pity 1
plenty 1
relatives 1
relentless 1
sarah 1
seemingly 1
separated 1
sister 1
solitude 1
stateoftheart 1
stepmother 1
suicide 1
telescope 1
the 5
their 2
these 1
thirtle 1
towards 1
tree 1
trees 1
turned 1
unusual 1
up 2
verity 1
very 1
watching 1
when 1
who 1
with 1
