30767858
/m/0gffyz4
/m/0gffyz4
Ashwin Sanghi
2010
{"/m/05hgj": "Novel"}
340 1
a 14
about 1
absence 1
accepted 1
again 1
against 2
alexander 1
ambitious 1
ancient 1
and 9
another 1
armed 1
army 1
arthashastra 1
as 4
astonishing 1
bc 1
be 3
beautiful 1
becomes 2
beloved 1
bharat 2
boredby 1
both 1
brahmin 2
brilliant 1
but 1
by 1
calculating 1
can 1
certain 1
chanakya 3
chandragupta 1
chant 1
child 1
class 1
cold 1
complete 1
corruption 1
country 1
cruel 1
demigod 1
deviancebring 1
divisive 1
each 1
edges 1
empire 1
exults 1
father 1
feasting 1
for 1
forces 1
form 1
gangasagar 2
gifted 1
great 1
greed 1
ground 1
grows 1
gruesome 1
half 1
happens 2
hatred 1
haunted 1
he 3
him 1
his 3
history 2
host 1
hunted 1
in 6
india 3
individualsincluding 1
installing 1
into 1
invasion 1
itself 1
just 1
kingmaker 1
knows 1
later 1
little 1
mauryan 1
mighty 1
millennium 1
mind 1
miracle 1
mishra 1
modern 1
morals 1
most 1
murder 1
of 12
off 1
on 2
other 1
pandit 1
pitting 1
political 1
politics 1
powerful 2
preys 1
pulls 1
puppteer 1
ragged 1
recedes 1
repeating 1
revenge 1
revives 1
riven 1
satisfiedand 1
science 1
sexual 1
shadows 1
simple 1
slum 1
small 1
strategist 2
succeeds 2
success 1
summoning 1
teacher 1
that 1
the 15
this 2
throne 1
through 1
to 5
town 1
two 1
united 1
uniting 1
up 1
venality 1
victory 1
vows 1
weak 1
wealth 1
which 1
who 3
wicked 1
will 1
wily 1
with 1
woman 1
work 1
write 1
year 1
youth 1
