1028446
/m/03_mcv
/m/03_mcv
Bel Kaufman
1965
{"/m/05hgj": "Novel"}
a 7
after 1
american 1
an 3
and 10
are 1
around 1
as 3
aside 1
at 2
banning 1
barrett 2
be 1
becomes 1
book 2
box 1
bureaucracy 1
busing 1
by 3
can 1
career 1
changed 1
chapters 1
chaucer 1
chose 1
class 1
classic 1
closing 1
colleagues 1
college 1
comes 1
consisting 1
decides 1
dialog 1
discouraged 1
do 1
documents 1
down 1
dropped 2
dumb 1
during 2
early 1
english 1
entirely 1
epistolary 1
especially 1
essays 1
events 1
family 1
first 1
for 1
form 1
fragments 1
friend 1
from 4
frustrated 1
get 1
graded 1
handed 1
has 1
her 7
high 1
hopes 1
however 1
idealistic 1
in 9
incompetence 1
indeed 1
indifference 1
infraction 1
innercity 1
instructing 1
integration 1
interest 1
is 5
just 1
key 1
leave 1
lesson 1
letters 2
literature 1
lives 1
make 1
many 1
married 1
memo 1
memos 1
mid160s 1
mind 1
name 1
not 1
notes 1
novel 3
nurture 1
of 11
offer 1
office 1
one 1
opening 1
plans 1
plot 1
portrait 1
prayer 1
private 1
public 1
punished 1
pursue 1
quickly 1
rather 1
realization 1
recap 1
refers 1
responsibilities 1
revolves 1
roles 1
school 3
serve 1
set 1
setting 1
she 3
smaller 1
society 1
staircase 1
start 1
story 1
students 5
such 1
suggestion 1
suggestions 1
summary 1
sure 1
sylvia 1
teacher 1
teachers 1
teaching 1
than 1
that 3
the 20
them 1
through 1
time 1
title 1
to 9
told 1
touched 1
trash 1
up 1
walk 1
well 1
who 2
women 1
work 1
writing 1
written 1
year 1
